;velocity 0;FuncMatrix 0;FuncMatrixRemake 0;velocity 1;FuncMatrix 1;FuncMatrixRemake 1;velocity 2;FuncMatrix 2;FuncMatrixRemake 2;velocity 3;FuncMatrix 3;FuncMatrixRemake 3;velocity 4;FuncMatrix 4;FuncMatrixRemake 4;velocity 5;FuncMatrix 5;FuncMatrixRemake 5;velocity 6;FuncMatrix 6;FuncMatrixRemake 6;velocity 7;FuncMatrix 7;FuncMatrixRemake 7;velocity 8;FuncMatrix 8;FuncMatrixRemake 8;velocity 9;FuncMatrix 9;FuncMatrixRemake 9;velocity 10;FuncMatrix 10;FuncMatrixRemake 10;velocity 11;FuncMatrix 11;FuncMatrixRemake 11;velocity 12;FuncMatrix 12;FuncMatrixRemake 12;velocity 13;FuncMatrix 13;FuncMatrixRemake 13;velocity 14;FuncMatrix 14;FuncMatrixRemake 14;velocity 15;FuncMatrix 15;FuncMatrixRemake 15;velocity 16;FuncMatrix 16;FuncMatrixRemake 16;velocity 17;FuncMatrix 17;FuncMatrixRemake 17;velocity 18;FuncMatrix 18;FuncMatrixRemake 18;velocity 19;FuncMatrix 19;FuncMatrixRemake 19;velocity 20;FuncMatrix 20;FuncMatrixRemake 20;velocity 21;FuncMatrix 21;FuncMatrixRemake 21;velocity 22;FuncMatrix 22;FuncMatrixRemake 22;velocity 23;FuncMatrix 23;FuncMatrixRemake 23;velocity 24;FuncMatrix 24;FuncMatrixRemake 24;velocity 25;FuncMatrix 25;FuncMatrixRemake 25;velocity 26;FuncMatrix 26;FuncMatrixRemake 26;velocity 27;FuncMatrix 27;FuncMatrixRemake 27;velocity 28;FuncMatrix 28;FuncMatrixRemake 28;velocity 29;FuncMatrix 29;FuncMatrixRemake 29;velocity 30;FuncMatrix 30;FuncMatrixRemake 30;velocity 31;FuncMatrix 31;FuncMatrixRemake 31;velocity 32;FuncMatrix 32;FuncMatrixRemake 32;velocity 33;FuncMatrix 33;FuncMatrixRemake 33;velocity 34;FuncMatrix 34;FuncMatrixRemake 34;velocity 35;FuncMatrix 35;FuncMatrixRemake 35;velocity 36;FuncMatrix 36;FuncMatrixRemake 36;velocity 37;FuncMatrix 37;FuncMatrixRemake 37;velocity 38;FuncMatrix 38;FuncMatrixRemake 38;velocity 39;FuncMatrix 39;FuncMatrixRemake 39
0;-0.000538627;0.000953863;0.000953863;-0.000804581;0.001034321;0.001034321;-0.001205806;0.001154902;0.001154902;-0.001807463;0.001335648;0.001335648;-0.002708167;0.001606465;0.001606465;-0.004055308;0.002011995;0.002011995;-0.006068758;0.002618871;0.002618871;-0.009076293;0.0035265;0.0035265;-0.013566336;0.004883134;0.004883134;-0.02026642;0.006909776;0.006909776;-0.030259893;0.009935765;0.009935765;-0.045159446;0.01445171;0.01445171;-0.06736509;0.021188219;0.021188219;-0.100447586;0.031232978;0.031232978;-0.149718255;0.046204803;0.046204803;-0.223075598;0.068512363;0.068512363;-0.332263019;0.101738665;0.101738665;-0.494736977;0.151212362;0.151212362;-0.736441442;0.224856507;0.224856507;-1.095927817;0.334449288;0.334449288;-1.630471986;0.497496487;0.497496487;-2.425155586;0.740012045;0.740012045;-3.606346351;1.100646681;1.100646681;-5.361706454;1.636817326;1.636817326;-7.969887086;2.433806035;2.433806035;-11.84459441;3.618265476;3.618265476;-17.59997641;5.378263116;5.378263116;-26.14763838;7.993026955;7.993026955;-38.84057504;11.87708446;11.87708446;-57.68669176;17.64575364;17.64575364;-85.66553794;26.21230743;0.001;-0.000494226;0.001049423;0.001049423;-0.000733759;0.001122799;0.001122799;-0.00108928;0.001231727;0.001231727;-0.001616913;0.001393418;0.001393418;-0.002399913;0.001633409;0.001633409;-0.003561784;0.001989588;0.001989588;-0.005285718;0.002518159;0.002518159;-0.007843436;0.003302503;0.003302503;-0.011637935;0.004466296;0.004466296
1;-1.14E-05;0.000801141;0.000801141;-2.02E-05;0.000803163;0.000803163;-3.07E-05;0.00080623;0.00080623;-4.53E-05;0.000810757;0.000810757;-6.65E-05;0.000817404;0.000817404;-9.75E-05;0.00082715;0.00082715;-0.000142886;0.000841439;0.000841439;-0.000209518;0.000862391;0.000862391;-0.000307322;0.000893123;0.000893123;-0.000450946;0.000938218;0.000938218;-0.000661945;0.001004412;0.001004412;-0.000972049;0.001101617;0.001101617;-0.001427978;0.001244415;0.001244415;-0.002098551;0.00145427;0.00145427;-0.003085166;0.001762787;0.001762787;-0.004537268;0.002216513;0.002216513;-0.006675173;0.002884031;0.002884031;-0.009823769;0.003866408;0.003866408;-0.014462258;0.005312633;0.005312633;-0.021297624;0.007442396;0.007442396;-0.031373131;0.010579709;0.010579709;-0.046228602;0.015202569;0.015202569;-0.068137214;0.02201629;0.02201629;-0.100455382;0.032061829;0.032061829;-0.148139833;0.046875812;0.046875812;-0.218511833;0.068726995;0.068726995;-0.322386832;0.100965678;0.100965678;-0.475744471;0.148540126;0.148540126;-0.70219763;0.218759889;0.218759889;-1.036643235;0.322424212;0.322424212;-1.530660884;0.4754903;0.0009;-8.78E-06;0.000900878;0.000900878;-1.30E-05;0.000902176;0.000902176;-1.92E-05;0.000904094;0.000904094;-2.84E-05;0.00090693;0.00090693;-4.19E-05;0.000911123;0.000911123;-6.20E-05;0.000917323;0.000917323;-9.17E-05;0.000926492;0.000926492;-0.0001356;0.000940052;0.000940052;-0.000200553;0.000960108;0.000960108
2;-6.15E-06;0.000700615;0.000700615;-8.23E-06;0.000701437;0.000701437;-8.82E-06;0.00070232;0.00070232;-9.05E-06;0.000703224;0.000703224;-9.24E-06;0.000704149;0.000704149;-9.56E-06;0.000705105;0.000705105;-1.01E-05;0.000706116;0.000706116;-1.10E-05;0.000707214;0.000707214;-1.24E-05;0.000708451;0.000708451;-1.44E-05;0.000709895;0.000709895;-1.75E-05;0.00071165;0.00071165;-2.21E-05;0.000713863;0.000713863;-2.89E-05;0.000716749;0.000716749;-3.87E-05;0.000720617;0.000720617;-5.30E-05;0.000725921;0.000725921;-7.40E-05;0.000733317;0.000733317;-0.000104468;0.000743764;0.000743764;-0.000148959;0.00075866;0.00075866;-0.000213867;0.000780046;0.000780046;-0.000308611;0.000810907;0.000810907;-0.000446988;0.000855606;0.000855606;-0.000649222;0.000920528;0.000920528;-0.000944973;0.001015026;0.001015026;-0.001377761;0.001152802;0.001152802;-0.002011475;0.001353949;0.001353949;-0.002939951;0.001647944;0.001647944;-0.004301076;0.002078052;0.002078052;-0.006297545;0.002707806;0.002707806;-0.009227445;0.003630551;0.003630551;-0.01352931;0.004983482;0.004983482;-0.019848523;0.006968334;0.0008;-6.22E-06;0.000800622;0.000800622;-6.21E-06;0.000801242;0.000801242;-6.22E-06;0.000801865;0.000801865;-6.28E-06;0.000802492;0.000802492;-6.39E-06;0.000803131;0.000803131;-6.58E-06;0.00080379;0.00080379;-6.90E-06;0.000804479;0.000804479;-7.38E-06;0.000805218;0.000805218;-8.13E-06;0.000806031;0.000806031
3;-3.53E-06;0.000600353;0.000600353;-5.32E-06;0.000600885;0.000600885;-6.01E-06;0.000601486;0.000601486;-6.24E-06;0.00060211;0.00060211;-6.28E-06;0.000602738;0.000602738;-6.24E-06;0.000603362;0.000603362;-6.18E-06;0.00060398;0.00060398;-6.11E-06;0.000604591;0.000604591;-6.05E-06;0.000605196;0.000605196;-5.99E-06;0.000605795;0.000605795;-5.95E-06;0.00060639;0.00060639;-5.94E-06;0.000606984;0.000606984;-5.95E-06;0.000607579;0.000607579;-6.00E-06;0.000608179;0.000608179;-6.11E-06;0.00060879;0.00060879;-6.29E-06;0.000609419;0.000609419;-6.58E-06;0.000610077;0.000610077;-7.03E-06;0.00061078;0.00061078;-7.70E-06;0.00061155;0.00061155;-8.70E-06;0.00061242;0.00061242;-1.02E-05;0.000613435;0.000613435;-1.23E-05;0.000614664;0.000614664;-1.54E-05;0.000616205;0.000616205;-1.99E-05;0.000618199;0.000618199;-2.65E-05;0.000620853;0.000620853;-3.62E-05;0.000624469;0.000624469;-5.02E-05;0.000629487;0.000629487;-7.06E-05;0.000636547;0.000636547;-0.000100393;0.000646587;0.000646587;-0.000143872;0.000660974;0.000660974;-0.000207374;0.000681711;0.0007;-4.77E-06;0.000700477;0.000700477;-4.77E-06;0.000700954;0.000700954;-4.76E-06;0.00070143;0.00070143;-4.75E-06;0.000701905;0.000701905;-4.74E-06;0.000702379;0.000702379;-4.74E-06;0.000702853;0.000702853;-4.73E-06;0.000703325;0.000703325;-4.72E-06;0.000703798;0.000703798;-4.72E-06;0.00070427;0.00070427
4;-2.08E-06;0.000500208;0.000500208;-3.52E-06;0.00050056;0.00050056;-4.21E-06;0.000500981;0.000500981;-4.51E-06;0.000501432;0.000501432;-4.62E-06;0.000501895;0.000501895;-4.64E-06;0.000502359;0.000502359;-4.63E-06;0.000502822;0.000502822;-4.60E-06;0.000503282;0.000503282;-4.56E-06;0.000503737;0.000503737;-4.52E-06;0.000504189;0.000504189;-4.48E-06;0.000504636;0.000504636;-4.44E-06;0.00050508;0.00050508;-4.40E-06;0.00050552;0.00050552;-4.36E-06;0.000505957;0.000505957;-4.33E-06;0.00050639;0.00050639;-4.30E-06;0.00050682;0.00050682;-4.28E-06;0.000507248;0.000507248;-4.25E-06;0.000507673;0.000507673;-4.23E-06;0.000508097;0.000508097;-4.22E-06;0.000508519;0.000508519;-4.21E-06;0.00050894;0.00050894;-4.21E-06;0.00050936;0.00050936;-4.22E-06;0.000509782;0.000509782;-4.24E-06;0.000510206;0.000510206;-4.28E-06;0.000510633;0.000510633;-4.34E-06;0.000511067;0.000511067;-4.45E-06;0.000511512;0.000511512;-4.60E-06;0.000511972;0.000511972;-4.84E-06;0.000512456;0.000512456;-5.19E-06;0.000512976;0.000512976;-5.71E-06;0.000513546;0.0006;-3.84E-06;0.000600384;0.000600384;-3.84E-06;0.000600768;0.000600768;-3.84E-06;0.000601151;0.000601151;-3.83E-06;0.000601534;0.000601534;-3.83E-06;0.000601917;0.000601917;-3.82E-06;0.000602299;0.000602299;-3.81E-06;0.00060268;0.00060268;-3.81E-06;0.000603061;0.000603061;-3.80E-06;0.000603441;0.000603441
5;-1.23E-06;0.000400123;0.000400123;-2.32E-06;0.000400356;0.000400356;-2.95E-06;0.000400651;0.000400651;-3.27E-06;0.000400978;0.000400978;-3.42E-06;0.00040132;0.00040132;-3.48E-06;0.000401668;0.000401668;-3.51E-06;0.000402019;0.000402019;-3.51E-06;0.00040237;0.00040237;-3.50E-06;0.00040272;0.00040272;-3.49E-06;0.00040307;0.00040307;-3.48E-06;0.000403417;0.000403417;-3.47E-06;0.000403764;0.000403764;-3.45E-06;0.000404109;0.000404109;-3.44E-06;0.000404453;0.000404453;-3.42E-06;0.000404795;0.000404795;-3.41E-06;0.000405136;0.000405136;-3.40E-06;0.000405476;0.000405476;-3.39E-06;0.000405815;0.000405815;-3.38E-06;0.000406153;0.000406153;-3.36E-06;0.000406489;0.000406489;-3.35E-06;0.000406825;0.000406825;-3.35E-06;0.000407159;0.000407159;-3.34E-06;0.000407493;0.000407493;-3.33E-06;0.000407825;0.000407825;-3.32E-06;0.000408157;0.000408157;-3.31E-06;0.000408489;0.000408489;-3.31E-06;0.000408819;0.000408819;-3.30E-06;0.000409149;0.000409149;-3.30E-06;0.000409479;0.000409479;-3.29E-06;0.000409808;0.000409808;-3.29E-06;0.000410137;0.0005;-3.18E-06;0.000500318;0.000500318;-3.19E-06;0.000500637;0.000500637;-3.19E-06;0.000500955;0.000500955;-3.19E-06;0.000501274;0.000501274;-3.18E-06;0.000501593;0.000501593;-3.18E-06;0.000501911;0.000501911;-3.18E-06;0.000502228;0.000502228;-3.17E-06;0.000502546;0.000502546;-3.17E-06;0.000502863;0.000502863
6;-7.10E-07;0.000300071;0.000300071;-1.51E-06;0.000300222;0.000300222;-2.03E-06;0.000300425;0.000300425;-2.33E-06;0.000300658;0.000300658;-2.49E-06;0.000300907;0.000300907;-2.58E-06;0.000301165;0.000301165;-2.63E-06;0.000301428;0.000301428;-2.67E-06;0.000301695;0.000301695;-2.69E-06;0.000301964;0.000301964;-2.70E-06;0.000302234;0.000302234;-2.71E-06;0.000302505;0.000302505;-2.72E-06;0.000302777;0.000302777;-2.73E-06;0.00030305;0.00030305;-2.73E-06;0.000303323;0.000303323;-2.74E-06;0.000303597;0.000303597;-2.74E-06;0.000303871;0.000303871;-2.74E-06;0.000304145;0.000304145;-2.74E-06;0.000304419;0.000304419;-2.75E-06;0.000304694;0.000304694;-2.75E-06;0.000304969;0.000304969;-2.75E-06;0.000305243;0.000305243;-2.75E-06;0.000305518;0.000305518;-2.75E-06;0.000305793;0.000305793;-2.75E-06;0.000306068;0.000306068;-2.75E-06;0.000306342;0.000306342;-2.75E-06;0.000306617;0.000306617;-2.75E-06;0.000306892;0.000306892;-2.75E-06;0.000307166;0.000307166;-2.75E-06;0.000307441;0.000307441;-2.74E-06;0.000307715;0.000307715;-2.74E-06;0.00030799;0.0004;-2.69E-06;0.000400269;0.000400269;-2.70E-06;0.000400538;0.000400538;-2.71E-06;0.000400809;0.000400809;-2.71E-06;0.00040108;0.00040108;-2.71E-06;0.000401351;0.000401351;-2.71E-06;0.000401621;0.000401621;-2.71E-06;0.000401892;0.000401892;-2.70E-06;0.000402162;0.000402162;-2.70E-06;0.000402433;0.000402433
7;-3.64E-07;0.000200036;0.000200036;-9.34E-07;0.00020013;0.00020013;-1.33E-06;0.000200263;0.000200263;-1.59E-06;0.000200422;0.000200422;-1.75E-06;0.000200597;0.000200597;-1.85E-06;0.000200782;0.000200782;-1.93E-06;0.000200974;0.000200974;-1.98E-06;0.000201173;0.000201173;-2.03E-06;0.000201375;0.000201375;-2.06E-06;0.000201582;0.000201582;-2.09E-06;0.000201791;0.000201791;-2.12E-06;0.000202003;0.000202003;-2.15E-06;0.000202218;0.000202218;-2.17E-06;0.000202435;0.000202435;-2.19E-06;0.000202653;0.000202653;-2.20E-06;0.000202874;0.000202874;-2.22E-06;0.000203096;0.000203096;-2.23E-06;0.000203319;0.000203319;-2.25E-06;0.000203544;0.000203544;-2.26E-06;0.00020377;0.00020377;-2.27E-06;0.000203997;0.000203997;-2.28E-06;0.000204225;0.000204225;-2.29E-06;0.000204454;0.000204454;-2.30E-06;0.000204683;0.000204683;-2.30E-06;0.000204913;0.000204913;-2.31E-06;0.000205144;0.000205144;-2.31E-06;0.000205376;0.000205376;-2.32E-06;0.000205608;0.000205608;-2.32E-06;0.00020584;0.00020584;-2.33E-06;0.000206073;0.000206073;-2.33E-06;0.000206306;0.0003;-2.30E-06;0.00030023;0.00030023;-2.32E-06;0.000300462;0.000300462;-2.33E-06;0.000300695;0.000300695;-2.34E-06;0.000300929;0.000300929;-2.34E-06;0.000301162;0.000301162;-2.34E-06;0.000301396;0.000301396;-2.34E-06;0.00030163;0.00030163;-2.34E-06;0.000301864;0.000301864;-2.34E-06;0.000302098;0.000302098
8;-1.13E-07;0.000100011;0.000100011;-5.17E-07;0.000100063;0.000100063;-7.89E-07;0.000100142;0.000100142;-9.87E-07;0.000100241;0.000100241;-1.13E-06;0.000100354;0.000100354;-1.25E-06;0.000100479;0.000100479;-1.34E-06;0.000100612;0.000100612;-1.41E-06;0.000100753;0.000100753;-1.47E-06;0.000100901;0.000100901;-1.53E-06;0.000101054;0.000101054;-1.58E-06;0.000101211;0.000101211;-1.62E-06;0.000101374;0.000101374;-1.66E-06;0.00010154;0.00010154;-1.70E-06;0.00010171;0.00010171;-1.73E-06;0.000101884;0.000101884;-1.76E-06;0.00010206;0.00010206;-1.79E-06;0.000102239;0.000102239;-1.82E-06;0.000102421;0.000102421;-1.84E-06;0.000102605;0.000102605;-1.86E-06;0.000102791;0.000102791;-1.88E-06;0.000102979;0.000102979;-1.90E-06;0.000103169;0.000103169;-1.91E-06;0.00010336;0.00010336;-1.93E-06;0.000103553;0.000103553;-1.94E-06;0.000103747;0.000103747;-1.95E-06;0.000103943;0.000103943;-1.97E-06;0.000104139;0.000104139;-1.98E-06;0.000104337;0.000104337;-1.99E-06;0.000104536;0.000104536;-2.00E-06;0.000104735;0.000104735;-2.00E-06;0.000104935;0.0002;-1.98E-06;0.000200198;0.000200198;-2.02E-06;0.0002004;0.0002004;-2.03E-06;0.000200603;0.000200603;-2.04E-06;0.000200807;0.000200807;-2.04E-06;0.000201011;0.000201011;-2.04E-06;0.000201216;0.000201216;-2.05E-06;0.00020142;0.00020142;-2.05E-06;0.000201625;0.000201625;-2.05E-06;0.00020183;0.00020183
9;-1.00E-07;1.00E-08;1.00E-08;-2.06E-07;3.06E-08;3.06E-08;-3.47E-07;6.53E-08;6.53E-08;-4.87E-07;1.14E-07;1.14E-07;-6.15E-07;1.75E-07;1.75E-07;-7.29E-07;2.48E-07;2.48E-07;-8.31E-07;3.32E-07;3.32E-07;-9.22E-07;4.24E-07;4.24E-07;-1.00E-06;5.24E-07;5.24E-07;-1.08E-06;6.32E-07;6.32E-07;-1.14E-06;7.46E-07;7.46E-07;-1.20E-06;8.66E-07;8.66E-07;-1.26E-06;9.91E-07;9.91E-07;-1.31E-06;1.12E-06;1.12E-06;-1.35E-06;1.26E-06;1.26E-06;-1.39E-06;1.40E-06;1.40E-06;-1.43E-06;1.54E-06;1.54E-06;-1.47E-06;1.69E-06;1.69E-06;-1.50E-06;1.84E-06;1.84E-06;-1.53E-06;1.99E-06;1.99E-06;-1.55E-06;2.14E-06;2.14E-06;-1.58E-06;2.30E-06;2.30E-06;-1.60E-06;2.46E-06;2.46E-06;-1.62E-06;2.62E-06;2.62E-06;-1.64E-06;2.79E-06;2.79E-06;-1.66E-06;2.95E-06;2.95E-06;-1.68E-06;3.12E-06;3.12E-06;-1.69E-06;3.29E-06;3.29E-06;-1.71E-06;3.46E-06;3.46E-06;-1.72E-06;3.63E-06;3.63E-06;-1.73E-06;3.81E-06;0.0001;-1.72E-06;0.000100172;0.000100172;-1.77E-06;0.00010035;0.00010035;-1.78E-06;0.000100528;0.000100528;-1.79E-06;0.000100707;0.000100707;-1.80E-06;0.000100887;0.000100887;-1.80E-06;0.000101067;0.000101067;-1.81E-06;0.000101247;0.000101247;-1.81E-06;0.000101428;0.000101428;-1.81E-06;0.00010161;0.00010161
