;velocity 0;FuncMatrix 0;FuncMatrixRemake 0;velocity 1;FuncMatrix 1;FuncMatrixRemake 1;velocity 2;FuncMatrix 2;FuncMatrixRemake 2;velocity 3;FuncMatrix 3;FuncMatrixRemake 3;velocity 4;FuncMatrix 4;FuncMatrixRemake 4;velocity 5;FuncMatrix 5;FuncMatrixRemake 5;velocity 6;FuncMatrix 6;FuncMatrixRemake 6;velocity 7;FuncMatrix 7;FuncMatrixRemake 7;velocity 8;FuncMatrix 8;FuncMatrixRemake 8;velocity 9;FuncMatrix 9;FuncMatrixRemake 9;velocity 10;FuncMatrix 10;FuncMatrixRemake 10;velocity 11;FuncMatrix 11;FuncMatrixRemake 11;velocity 12;FuncMatrix 12;FuncMatrixRemake 12;velocity 13;FuncMatrix 13;FuncMatrixRemake 13;velocity 14;FuncMatrix 14;FuncMatrixRemake 14;velocity 15;FuncMatrix 15;FuncMatrixRemake 15;velocity 16;FuncMatrix 16;FuncMatrixRemake 16;velocity 17;FuncMatrix 17;FuncMatrixRemake 17;velocity 18;FuncMatrix 18;FuncMatrixRemake 18;velocity 19;FuncMatrix 19;FuncMatrixRemake 19
0;-0.000520353;0.001160177;0.001160177;-0.001804356;0.002062355;0.002062355;-0.006230501;0.005177606;0.005177606;-0.02144645;0.01590083;0.01590083;-0.073647162;0.052724411;0.001;-0.000495756;0.001247878;0.001247878;-0.001697409;0.002096583;0.002096583;-0.005806142;0.004999654;0.004999654;-0.019844769;0.014922038;0.0011;-0.000491861;0.00134593;0.00134593;-0.00167927;0.002185566;0.002185566;-0.005730937;0.005051034;0.005051034;-0.019551478;0.014826773;0.0012;-0.00049033;0.001445165;0.001445165;-0.001671896;0.002281113;0.002281113;-0.00569953;0.005130878;0.005130878;-0.019426098;0.014843927;0.0013;-0.000489553;0.001544776;0.001544776;-0.001668046;0.002378799;0.002378799;-0.005682761;0.00522018;0.00522018
1;-1.21E-05;0.000806046;0.000806046;-4.06E-05;0.000826329;0.000826329;-0.000130749;0.000891704;0.000891704;-0.000425075;0.001104241;0.001104241;-0.001395226;0.001801854;0.0009;-9.06E-06;0.000904532;0.000904532;-3.03E-05;0.000919664;0.000919664;-0.000101465;0.000970396;0.000970396;-0.000341178;0.001140985;0.001;-8.34E-06;0.001004172;0.001004172;-2.82E-05;0.00101827;0.00101827;-9.54E-05;0.001065977;0.001065977;-0.000323152;0.001227553;0.0011;-8.05E-06;0.001104027;0.001104027;-2.73E-05;0.001117686;0.001117686;-9.27E-05;0.001164046;0.001164046;-0.00031476;0.001321426;0.0012;-7.90E-06;0.001203952;0.001203952;-2.68E-05;0.001217375;0.001217375;-9.12E-05;0.001262979;0.001262979
2;-7.72E-06;0.000703862;0.000703862;-8.00E-06;0.00070786;0.00070786;-8.71E-06;0.000712214;0.000712214;-1.25E-05;0.000718444;0.000718444;-2.56E-05;0.000731237;0.0008;-6.40E-06;0.000803199;0.000803199;-6.33E-06;0.000806362;0.000806362;-6.93E-06;0.000809827;0.000809827;-9.66E-06;0.000814658;0.0009;-5.93E-06;0.000902967;0.000902967;-5.94E-06;0.000905939;0.000905939;-6.54E-06;0.00090921;0.00090921;-9.06E-06;0.000913739;0.001;-5.74E-06;0.00100287;0.00100287;-5.78E-06;0.001005759;0.001005759;-6.36E-06;0.00100894;0.00100894;-8.78E-06;0.00101333;0.0011;-5.64E-06;0.00110282;0.00110282;-5.68E-06;0.001105662;0.001105662;-6.26E-06;0.001108792;0.001108792
3;-5.27E-06;0.000602634;0.000602634;-5.79E-06;0.000605528;0.000605528;-5.62E-06;0.000608337;0.000608337;-5.44E-06;0.000611059;0.000611059;-5.42E-06;0.000613766;0.0007;-4.89E-06;0.000702445;0.000702445;-4.83E-06;0.000704861;0.000704861;-4.78E-06;0.000707253;0.000707253;-4.76E-06;0.000709634;0.0008;-4.59E-06;0.000802293;0.000802293;-4.58E-06;0.000804582;0.000804582;-4.57E-06;0.000806868;0.000806868;-4.58E-06;0.000809161;0.0009;-4.45E-06;0.000902226;0.000902226;-4.46E-06;0.000904456;0.000904456;-4.47E-06;0.000906691;0.000906691;-4.49E-06;0.000908938;0.001;-4.38E-06;0.001002189;0.001002189;-4.39E-06;0.001004386;0.001004386;-4.41E-06;0.001006591;0.001006591
4;-3.70E-06;0.000501848;0.000501848;-4.35E-06;0.000504022;0.000504022;-4.32E-06;0.000506181;0.000506181;-4.21E-06;0.000508285;0.000508285;-4.11E-06;0.000510341;0.0006;-3.91E-06;0.000601955;0.000601955;-3.88E-06;0.000603894;0.000603894;-3.84E-06;0.000605816;0.000605816;-3.81E-06;0.000607724;0.0007;-3.72E-06;0.000701861;0.000701861;-3.71E-06;0.000703717;0.000703717;-3.70E-06;0.000705569;0.000705569;-3.70E-06;0.000707417;0.0008;-3.63E-06;0.000801815;0.000801815;-3.63E-06;0.000803629;0.000803629;-3.63E-06;0.000805444;0.000805444;-3.63E-06;0.00080726;0.0009;-3.57E-06;0.000901787;0.000901787;-3.58E-06;0.000903577;0.000903577;-3.58E-06;0.00090537;0.00090537
5;-2.61E-06;0.000401303;0.000401303;-3.31E-06;0.000402961;0.000402961;-3.39E-06;0.000404657;0.000404657;-3.36E-06;0.000406337;0.000406337;-3.32E-06;0.000407998;0.0005;-3.21E-06;0.000501606;0.000501606;-3.21E-06;0.000503212;0.000503212;-3.19E-06;0.000504808;0.000504808;-3.17E-06;0.000506395;0.0006;-3.12E-06;0.000601558;0.000601558;-3.11E-06;0.000603115;0.000603115;-3.11E-06;0.000604668;0.000604668;-3.10E-06;0.000606217;0.0007;-3.06E-06;0.000701528;0.000701528;-3.06E-06;0.000703056;0.000703056;-3.05E-06;0.000704583;0.000704583;-3.05E-06;0.000706109;0.0008;-3.02E-06;0.000801508;0.000801508;-3.02E-06;0.000803018;0.000803018;-3.02E-06;0.000804527;0.000804527
6;-1.81E-06;0.000300903;0.000300903;-2.53E-06;0.000302168;0.000302168;-2.68E-06;0.00030351;0.00030351;-2.72E-06;0.000304871;0.000304871;-2.73E-06;0.000306237;0.0004;-2.69E-06;0.000401343;0.000401343;-2.71E-06;0.000402699;0.000402699;-2.71E-06;0.000404054;0.000404054;-2.70E-06;0.000405405;0.0005;-2.67E-06;0.000501334;0.000501334;-2.67E-06;0.000502669;0.000502669;-2.67E-06;0.000504002;0.000504002;-2.66E-06;0.000505333;0.0006;-2.63E-06;0.000601317;0.000601317;-2.63E-06;0.000602634;0.000602634;-2.63E-06;0.00060395;0.00060395;-2.63E-06;0.000605265;0.0007;-2.61E-06;0.000701303;0.000701303;-2.61E-06;0.000702606;0.000702606;-2.61E-06;0.00070391;0.00070391
7;-1.19E-06;0.000200593;0.000200593;-1.91E-06;0.000201548;0.000201548;-2.12E-06;0.000202609;0.000202609;-2.22E-06;0.000203716;0.000203716;-2.27E-06;0.00020485;0.0003;-2.27E-06;0.000301135;0.000301135;-2.33E-06;0.000302298;0.000302298;-2.34E-06;0.000303466;0.000303466;-2.34E-06;0.000304634;0.0004;-2.32E-06;0.00040116;0.00040116;-2.33E-06;0.000402325;0.000402325;-2.33E-06;0.000403489;0.000403489;-2.33E-06;0.000404653;0.0005;-2.31E-06;0.000501154;0.000501154;-2.31E-06;0.000502309;0.000502309;-2.31E-06;0.000503464;0.000503464;-2.31E-06;0.000504618;0.0006;-2.29E-06;0.000601145;0.000601145;-2.29E-06;0.000602291;0.000602291;-2.29E-06;0.000603437;0.000603437
8;-6.87E-07;0.000100343;0.000100343;-1.40E-06;0.000101046;0.000101046;-1.66E-06;0.000101874;0.000101874;-1.80E-06;0.000102773;0.000102773;-1.89E-06;0.000103719;0.0002;-1.93E-06;0.000200966;0.000200966;-2.01E-06;0.000201973;0.000201973;-2.03E-06;0.000202991;0.000202991;-2.05E-06;0.000204014;0.0003;-2.04E-06;0.00030102;0.00030102;-2.06E-06;0.00030205;0.00030205;-2.06E-06;0.00030308;0.00030308;-2.06E-06;0.000304111;0.0004;-2.05E-06;0.000401025;0.000401025;-2.05E-06;0.000402052;0.000402052;-2.05E-06;0.000403079;0.000403079;-2.05E-06;0.000404105;0.0005;-2.04E-06;0.00050102;0.00050102;-2.04E-06;0.000502041;0.000502041;-2.04E-06;0.000503062;0.000503062
9;-6.18E-07;3.09E-07;3.09E-07;-9.85E-07;8.01E-07;8.01E-07;-1.26E-06;1.43E-06;1.43E-06;-1.45E-06;2.16E-06;2.16E-06;-1.58E-06;2.94E-06;0.0001;-1.65E-06;0.000100825;0.000100825;-1.76E-06;0.000101704;0.000101704;-1.79E-06;0.000102597;0.000102597;-1.81E-06;0.000103501;0.0002;-1.81E-06;0.000200906;0.000200906;-1.84E-06;0.000201824;0.000201824;-1.84E-06;0.000202745;0.000202745;-1.84E-06;0.000203668;0.0003;-1.84E-06;0.000300919;0.000300919;-1.85E-06;0.000301842;0.000301842;-1.85E-06;0.000302765;0.000302765;-1.85E-06;0.000303687;0.0004;-1.84E-06;0.000400918;0.000400918;-1.84E-06;0.000401838;0.000401838;-1.84E-06;0.000402758;0.000402758
