;velocity 0;FuncMatrix 0;FuncMatrixRemake 0;velocity 1;FuncMatrix 1;FuncMatrixRemake 1;velocity 2;FuncMatrix 2;FuncMatrixRemake 2;velocity 3;FuncMatrix 3;FuncMatrixRemake 3;velocity 4;FuncMatrix 4;FuncMatrixRemake 4;velocity 5;FuncMatrix 5;FuncMatrixRemake 5;velocity 6;FuncMatrix 6;FuncMatrixRemake 6
0;-0.00051247;0.00141247;0.00141247;-0.00301664;0.00442911;0.0011;-0.000497161;0.001597161;0.0012;-0.000494569;0.001694569;0.0013;-0.000492978;0.001792978;0.0014;-0.000491931;0.001891931;0.0015;-0.0004912;0.0019912;0.0016
1;-1.13E-05;0.000811339;0.000811339;-6.10E-05;0.00087229;0.001;-9.33E-06;0.00100933;0.0011;-8.86E-06;0.001108857;0.0012;-8.56E-06;0.001208561;0.0013;-8.36E-06;0.001308363;0.0014;-8.22E-06;0.001408224;0.0015
2;-7.51E-06;0.000707506;0.000707506;-7.32E-06;0.00071483;0.0009;-6.57E-06;0.000906575;0.001;-6.28E-06;0.001006276;0.0011;-6.08E-06;0.001106084;0.0012;-5.95E-06;0.001205953;0.0013;-5.86E-06;0.00130586;0.0014
3;-5.32E-06;0.000605323;0.000605323;-5.40E-06;0.000610722;0.0008;-5.01E-06;0.000805014;0.0009;-4.83E-06;0.000904825;0.001;-4.70E-06;0.001004697;0.0011;-4.61E-06;0.001104607;0.0012;-4.54E-06;0.001204542;0.0013
4;-3.90E-06;0.000503901;0.000503901;-4.17E-06;0.000508075;0.0007;-4.00E-06;0.000703997;0.0008;-3.89E-06;0.000803888;0.0009;-3.81E-06;0.000903806;0.001;-3.74E-06;0.001003745;0.0011;-3.70E-06;0.001103699;0.0012
5;-2.89E-06;0.000402893;0.000402893;-3.31E-06;0.000406201;0.0006;-3.27E-06;0.000603274;0.0007;-3.23E-06;0.000703227;0.0008;-3.18E-06;0.000803182;0.0009;-3.14E-06;0.000903143;0.001;-3.11E-06;0.001003111;0.0011
6;-2.14E-06;0.000302136;0.000302136;-2.65E-06;0.00030479;0.0005;-2.73E-06;0.000502728;0.0006;-2.73E-06;0.000602733;0.0007;-2.72E-06;0.000702717;0.0008;-2.70E-06;0.000802697;0.0009;-2.68E-06;0.000902678;0.001
7;-1.54E-06;0.000201541;0.000201541;-2.14E-06;0.000203678;0.0004;-2.30E-06;0.000402298;0.0005;-2.35E-06;0.000502348;0.0006;-2.36E-06;0.000602357;0.0007;-2.35E-06;0.000702353;0.0008;-2.34E-06;0.000802343;0.0009
8;-1.05E-06;0.000101054;0.000101054;-1.72E-06;0.000102771;0.0003;-1.95E-06;0.000301948;0.0004;-2.04E-06;0.000402037;0.0005;-2.07E-06;0.000502068;0.0006;-2.08E-06;0.000602077;0.0007;-2.08E-06;0.000702077;0.0008
9;-9.50E-07;9.50E-07;9.50E-07;-1.36E-06;2.31E-06;0.0002;-1.66E-06;0.000201658;0.0003;-1.78E-06;0.00030178;0.0004;-1.83E-06;0.000401831;0.0005;-1.85E-06;0.000501852;0.0006;-1.86E-06;0.00060186;0.0007
