;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
0;-0.000305518;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000301183;-0.000305518
1;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06;-4.27E-06
2;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06;-4.21E-06
3;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06;-4.15E-06
4;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06;-4.09E-06
5;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06;-4.03E-06
6;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06;-3.97E-06
7;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06;-3.90E-06
8;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06;-3.84E-06
9;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06;-3.78E-06
10;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06;-3.71E-06
11;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06;-3.65E-06
12;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06;-3.58E-06
