,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-0.0003030124111629886,-0.00029992102815517993,-0.0002999208255775936,-0.0002999209681837234,-0.0002999211702134457,-0.00029992058106016945,-0.0002999209256453918,-0.00029992121272744604,-0.00029992042907072157,-0.0002999208218907933,-0.00029992131646875927,-0.00029992022509410293,-0.00029992056027412973,-0.000299921577988879,-0.00029992033822510777,-0.000299920775226635,-0.0002999211514981024,-0.00029992098687950256,-0.0002999210074087752,-0.0002999206709014701,-0.0002999204040365777,-0.00029992093890051134,-0.00029992119945948927,-0.0002999204731280584,-0.0002999209444866074,-0.0002999209126393974,-0.0002999208763976355,-0.00029992126197661963,-0.00029992032247052437,-0.00029992032507118033,-0.0002999213482029092,-0.0002999207901554989,-0.00029992076699085816,-0.0002999208593669945,-0.0002999208357001841,-0.0003030127192213734
1,-3.049351259252188e-06,-3.0493523991669576e-06,-3.049350341299294e-06,-3.0493517895517766e-06,-3.049353843203398e-06,-3.049347848725161e-06,-3.0493513463634338e-06,-3.0493542665125798e-06,-3.0493462993669115e-06,-3.049350291725785e-06,-3.049355325370109e-06,-3.049344229845703e-06,-3.0493476297700182e-06,-3.049357976023444e-06,-3.049345373137126e-06,-3.049349812387505e-06,-3.0493536377331195e-06,-3.0493519737564954e-06,-3.049352195661021e-06,-3.0493487763946035e-06,-3.0493460484031876e-06,-3.049351472906404e-06,-3.0493541253768377e-06,-3.049346748938372e-06,-3.049351540718248e-06,-3.049351211774661e-06,-3.0493508447189992e-06,-3.049354776614309e-06,-3.0493452307131875e-06,-3.0493452481777918e-06,-3.0493556447523686e-06,-3.04934997815874e-06,-3.0493497489494966e-06,-3.0493506835100683e-06,-3.049350433121523e-06,-3.0493543539830333e-06
2,-3.007425991893648e-06,-3.007427116400147e-06,-3.007425086846963e-06,-3.0074265150832463e-06,-3.007428540586432e-06,-3.0074226283951673e-06,-3.0074260776725482e-06,-3.007428957826027e-06,-3.0074211002470288e-06,-3.0074250375337797e-06,-3.0074300022678953e-06,-3.0074190593960823e-06,-3.0074224121538235e-06,-3.007432616187674e-06,-3.0074201867686464e-06,-3.007424564741252e-06,-3.0074283373519807e-06,-3.0074266965491527e-06,-3.0074269159433983e-06,-3.007423543873273e-06,-3.007420852801212e-06,-3.0074262021492605e-06,-3.0074288183889494e-06,-3.0074215437805202e-06,-3.007426269606621e-06,-3.0074259448814677e-06,-3.00742558281579e-06,-3.007429461154774e-06,-3.007420046823468e-06,-3.007420063565918e-06,-3.0074303168910465e-06,-3.0074247285761418e-06,-3.007424502841382e-06,-3.0074254243813873e-06,-3.0074251770291e-06,-3.007429043859417e-06
3,-2.9657013964989467e-06,-2.9657025057562182e-06,-2.9657005043885933e-06,-2.965701912670646e-06,-2.9657039101890754e-06,-2.9656980798495776e-06,-2.9657014809087276e-06,-2.9657043213078077e-06,-2.9656965727800315e-06,-2.965700455197475e-06,-2.9657053514479676e-06,-2.9656945605322704e-06,-2.965697866211713e-06,-2.9657079287165223e-06,-2.9656956719975265e-06,-2.9656999889068595e-06,-2.965703708989341e-06,-2.9657020913434205e-06,-2.965702308413415e-06,-2.9656989833754555e-06,-2.9656963288576955e-06,-2.9657016032242374e-06,-2.9657041834826642e-06,-2.965697010349115e-06,-2.9657016705150318e-06,-2.965701349890514e-06,-2.9657009927709178e-06,-2.965704817971988e-06,-2.9656955346868518e-06,-2.9656955505551755e-06,-2.965705661216407e-06,-2.9657001509248585e-06,-2.9656999287516727e-06,-2.9657008372793606e-06,-2.9657005928178225e-06,-2.9657044058355345e-06
4,-2.924161893850603e-06,-2.924162988012377e-06,-2.9241610147123332e-06,-2.924162403093043e-06,-2.9241643727821776e-06,-2.9241586238897304e-06,-2.9241619768526285e-06,-2.9241647777263108e-06,-2.9241571377749853e-06,-2.9241609655028767e-06,-2.9241657936724224e-06,-2.924155154074434e-06,-2.924158412743733e-06,-2.924168334358417e-06,-2.9241562496384294e-06,-2.9241605056747855e-06,-2.924164173415101e-06,-2.9241625789173603e-06,-2.9241627938485838e-06,-2.9241595156979442e-06,-2.9241568973830746e-06,-2.924162096911937e-06,-2.9241646414261726e-06,-2.924157569451585e-06,-2.924162164224899e-06,-2.924161847584702e-06,-2.9241614953675946e-06,-2.924165267829957e-06,-2.9241561151191056e-06,-2.924156129959173e-06,-2.924166098487745e-06,-2.9241606659939464e-06,-2.9241604474720033e-06,-2.9241613429904247e-06,-2.9241611012749517e-06,-2.924164860678395e-06
5,-2.882793470018541e-06,-2.8827945492345923e-06,-2.8827926038928787e-06,-2.8827939724171086e-06,-2.8827959144248056e-06,-2.882790246602653e-06,-2.882793551571976e-06,-2.8827963131380022e-06,-2.8827887813267112e-06,-2.8827925545220006e-06,-2.882797314993559e-06,-2.8827868261282933e-06,-2.882790037834443e-06,-2.882799819150989e-06,-2.8827879057905174e-06,-2.8827921011219065e-06,-2.8827957166864883e-06,-2.8827941453355843e-06,-2.8827943583152994e-06,-2.8827911269269987e-06,-2.8827885444723366e-06,-2.882793669277426e-06,-2.8827961782749487e-06,-2.882789207180763e-06,-2.8827937368070486e-06,-2.8827934240338966e-06,-2.882793076674739e-06,-2.882796796783011e-06,-2.882787774222404e-06,-2.882787787875425e-06,-2.8827976147514387e-06,-2.8827922598592833e-06,-2.8827920450817514e-06,-2.882792927588888e-06,-2.8827926884735697e-06,-2.882796394441832e-06
6,-2.8415835882627973e-06,-2.8415846526810486e-06,-2.8415827351966296e-06,-2.8415840839007285e-06,-2.84158599836973e-06,-2.841580411264798e-06,-2.8415836683242972e-06,-2.841586390792454e-06,-2.8415789667177543e-06,-2.8415826855154257e-06,-2.841587378656712e-06,-2.8415770399882336e-06,-2.8415802047562664e-06,-2.84158984632632e-06,-2.8415781037425357e-06,-2.841582238513862e-06,-2.8415858020504374e-06,-2.8415842538538994e-06,-2.841584465073655e-06,-2.8415812803405283e-06,-2.841578733409382e-06,-2.8415837835754566e-06,-2.8415862572760163e-06,-2.8415793868192363e-06,-2.8415838515226515e-06,-2.8415835424969117e-06,-2.8415831999502403e-06,-2.8415868680785532e-06,-2.8415779752891354e-06,-2.841577987589594e-06,-2.8415876732455664e-06,-2.8415823957875397e-06,-2.8415821848521344e-06,-2.841583054341178e-06,-2.841582817676584e-06,-2.8415864703717766e-06
7,-2.8005211065089358e-06,-2.8005221562767833e-06,-2.800520266556022e-06,-2.8005215954677216e-06,-2.800523482537467e-06,-2.8005179758182777e-06,-2.800521185031818e-06,-2.8005238686067304e-06,-2.8005165518951695e-06,-2.8005202164084594e-06,-2.800524842575146e-06,-2.8005146536122077e-06,-2.8005177714449107e-06,-2.80052727378418e-06,-2.8005157014463176e-06,-2.8005197757812456e-06,-2.8005232874201444e-06,-2.8005217623926134e-06,-2.8005219720502585e-06,-2.8005188338839044e-06,-2.8005163221418245e-06,-2.800521297722955e-06,-2.8005237363424565e-06,-2.800516966314278e-06,-2.8005213663000804e-06,-2.800521060898883e-06,-2.8005207231158407e-06,-2.8005243396312585e-06,-2.8005155762775993e-06,-2.8005155870497945e-06,-2.8005251318745182e-06,-2.800519931710299e-06,-2.800519724721311e-06,-2.800520581179535e-06,-2.8005203468118146e-06,-2.800523946380272e-06
8,-2.759596199914594e-06,-2.7595972351804045e-06,-2.7595953731354023e-06,-2.759596682273985e-06,-2.759598542082099e-06,-2.759593115435173e-06,-2.7595962768477456e-06,-2.7595989217305617e-06,-2.759591712036126e-06,-2.7595953223565814e-06,-2.759599881897074e-06,-2.759589842188475e-06,-2.759592913065133e-06,-2.7596022766586084e-06,-2.75959087408406e-06,-2.7595948880853745e-06,-2.759598347939909e-06,-2.7595968461044036e-06,-2.7595970544064267e-06,-2.7595939627360125e-06,-2.759591485847017e-06,-2.759596386868092e-06,-2.7595987906197374e-06,-2.759592120843966e-06,-2.7595964562998633e-06,-2.7595961543948754e-06,-2.7595958213237193e-06,-2.759599386590874e-06,-2.7595907523773487e-06,-2.7595907614341887e-06,-2.7596001657747902e-06,-2.759595042790951e-06,-2.759594839860189e-06,-2.7595956832697367e-06,-2.7595954510378322e-06,-2.759598997610823e-06
9,-2.718800288098947e-06,-2.718801309013392e-06,-2.718799474561756e-06,-2.7188007639378303e-06,-2.718802596621999e-06,-2.7187972497493673e-06,-2.718800363386341e-06,-2.7188029697776565e-06,-2.718795866778191e-06,-2.718799422975674e-06,-2.718803916233984e-06,-2.7187940253663015e-06,-2.7187970492413463e-06,-2.7188062745480386e-06,-2.718795041298358e-06,-2.718798995048105e-06,-2.7188024032153247e-06,-2.7188009246033967e-06,-2.7188011317666767e-06,-2.718798086539599e-06,-2.7187956441629115e-06,-2.7188004706182577e-06,-2.7188028397159503e-06,-2.718796270048025e-06,-2.7188005411453456e-06,-2.7188002426019808e-06,-2.718799914186447e-06,-2.7188034285704477e-06,-2.718794923239865e-06,-2.718794930379661e-06,-2.71880419454514e-06,-2.7187991486549348e-06,-2.718798949902859e-06,-2.7187997802396033e-06,-2.7187995499743908e-06,-2.718803043669918e-06
10,-2.6781259666476513e-06,-2.678126973365776e-06,-2.6781251664294125e-06,-2.678126436044175e-06,-2.678128241743944e-06,-2.6781229743603002e-06,-2.678126040227056e-06,-2.6781286083290743e-06,-2.6781216117240878e-06,-2.6781251138464245e-06,-2.6781295411665887e-06,-2.678119798759853e-06,-2.6781227755620936e-06,-2.6781318630192686e-06,-2.6781207986967757e-06,-2.6781246922573113e-06,-2.678128048818623e-06,-2.6781265934699686e-06,-2.678126799723914e-06,-2.678123800905269e-06,-2.6781213926919708e-06,-2.6781261445451464e-06,-2.678128479205437e-06,-2.6781220095315788e-06,-2.678126216427272e-06,-2.6781259211026885e-06,-2.6781255972811796e-06,-2.678129061151683e-06,-2.6781206844839204e-06,-2.6781206894879607e-06,-2.678129813751342e-06,-2.678124844893744e-06,-2.678124650450867e-06,-2.6781254676850934e-06,-2.678125239207008e-06,-2.6781286801307244e-06
11,-2.637566942538839e-06,-2.637567935220886e-06,-2.6375661557257697e-06,-2.6375674055713934e-06,-2.637569184429465e-06,-2.6375639962599885e-06,-2.6375670143420365e-06,-2.637569544360936e-06,-2.637562653868189e-06,-2.6375661019415823e-06,-2.6375704636707045e-06,-2.6375608693755026e-06,-2.6375637990061635e-06,-2.6375727490338217e-06,-2.637561853278957e-06,-2.6375656866922845e-06,-2.6375689917140782e-06,-2.637567559676999e-06,-2.637567765266195e-06,-2.637564812839091e-06,-2.6375624384289077e-06,-2.637567115611376e-06,-2.6375694160559905e-06,-2.6375630462926435e-06,-2.637567189130383e-06,-2.637566896872012e-06,-2.637566577576553e-06,-2.6375699913118712e-06,-2.6375617431211738e-06,-2.6375617457518624e-06,-2.63757073035148e-06,-2.63756583849211e-06,-2.6375656485003816e-06,-2.6375664525954216e-06,-2.6375662257131553e-06,-2.637569613959223e-06
12,-2.597117973176808e-06,-2.5971189519902835e-06,-2.5971171998645148e-06,-2.5971184299234433e-06,-2.597120182087757e-06,-2.5971150728657445e-06,-2.5971180431272637e-06,-2.597120535275915e-06,-2.597113750629767e-06,-2.5971171446573154e-06,-2.5971214411496316e-06,-2.5971119946446037e-06,-2.597114876975949e-06,-2.5971236899805863e-06,-2.59711296246908e-06,-2.5971167357573626e-06,-2.5971199892916572e-06,-2.5971185806230386e-06,-2.5971187858090168e-06,-2.597115879775177e-06,-2.5971135387925046e-06,-2.5971181412031585e-06,-2.597120407661054e-06,-2.5971141377542896e-06,-2.5971182166653834e-06,-2.5971179273100115e-06,-2.5971176124654438e-06,-2.5971209764546605e-06,-2.597112856590552e-06,-2.5971128565871676e-06,-2.597121701730019e-06,-2.597116886859747e-06,-2.5971167014747425e-06,-2.597117492387443e-06,-2.5971172668956033e-06,-2.597120602547193e-06
