,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-4.980973490452487e-05,-4.980973490456217e-05,-4.9809734904612477e-05,-4.9809734904530945e-05,-4.98097349046437e-05,-4.980973490449885e-05,-4.980973490452314e-05,-4.980973490465064e-05,-4.9809734904461556e-05,-4.980973490454829e-05,-4.9809734904626354e-05,-4.9809734904475433e-05,-4.980973490457952e-05,-4.9809734904596864e-05,-4.980973490456911e-05,-4.980973490458819e-05,-4.980973490458732e-05,-4.980973490453268e-05,-4.9809734904524006e-05,-4.9809734904652375e-05,-4.980973490450666e-05,-4.980973490455523e-05,-4.980973490462115e-05,-4.9809734904537883e-05,-4.9809734904442474e-05,-4.980973490469314e-05,-4.980973490448237e-05,-4.980973490450926e-05,-4.980973490466452e-05,-4.980973490448064e-05,-4.9809734904576915e-05,-4.9809734904596864e-05,-4.9809734904520536e-05,-4.9809734904586456e-05,-4.980973490456217e-05,-4.980973490461074e-05
1,-4.8547067556022694e-05,-4.854706755605905e-05,-4.8547067556107336e-05,-4.8547067556029355e-05,-4.854706755613851e-05,-4.85470675559977e-05,-4.854706755602137e-05,-4.8547067556144904e-05,-4.854706755596098e-05,-4.854706755604552e-05,-4.85470675561216e-05,-4.854706755597525e-05,-4.8547067556076694e-05,-4.8547067556091005e-05,-4.854706755606581e-05,-4.854706755608478e-05,-4.8547067556084304e-05,-4.854706755603067e-05,-4.854706755602259e-05,-4.8547067556146964e-05,-4.854706755600531e-05,-4.8547067556053024e-05,-4.8547067556118395e-05,-4.854706755603352e-05,-4.854706755594238e-05,-4.8547067556187066e-05,-4.854706755598127e-05,-4.854706755600785e-05,-4.8547067556160286e-05,-4.854706755597921e-05,-4.854706755607305e-05,-4.854706755609286e-05,-4.854706755602033e-05,-4.8547067556082345e-05,-4.8547067556059415e-05,-4.854706755610639e-05
2,-4.755493577261825e-05,-4.7554935772653775e-05,-4.755493577270218e-05,-4.75549357726226e-05,-4.7554935772733646e-05,-4.755493577259324e-05,-4.7554935772616885e-05,-4.755493577273675e-05,-4.755493577255697e-05,-4.75549357726433e-05,-4.7554935772714226e-05,-4.755493577257254e-05,-4.7554935772669794e-05,-4.755493577268421e-05,-4.755493577265957e-05,-4.755493577267771e-05,-4.7554935772677336e-05,-4.755493577262561e-05,-4.755493577261846e-05,-4.75549357727365e-05,-4.7554935772599944e-05,-4.755493577264587e-05,-4.755493577271074e-05,-4.755493577262873e-05,-4.755493577254107e-05,-4.755493577277956e-05,-4.755493577257631e-05,-4.755493577260326e-05,-4.755493577275306e-05,-4.755493577257593e-05,-4.7554935772669055e-05,-4.7554935772685616e-05,-4.7554935772615055e-05,-4.755493577267899e-05,-4.7554935772653775e-05,-4.755493577270329e-05
3,-4.658376866586297e-05,-4.65837686658983e-05,-4.658376866594409e-05,-4.658376866586895e-05,-4.6583768665973365e-05,-4.658376866583901e-05,-4.658376866586172e-05,-4.658376866598066e-05,-4.658376866580228e-05,-4.658376866588532e-05,-4.65837686659567e-05,-4.6583768665816664e-05,-4.6583768665913266e-05,-4.6583768665926887e-05,-4.658376866590316e-05,-4.6583768665921384e-05,-4.6583768665921384e-05,-4.6583768665869465e-05,-4.658376866586297e-05,-4.658376866598141e-05,-4.6583768665845124e-05,-4.658376866588968e-05,-4.6583768665952135e-05,-4.658376866587372e-05,-4.6583768665786286e-05,-4.658376866602116e-05,-4.6583768665821604e-05,-4.658376866584837e-05,-4.6583768665994385e-05,-4.658376866582086e-05,-4.658376866591401e-05,-4.6583768665930674e-05,-4.6583768665860025e-05,-4.658376866592013e-05,-4.658376866589867e-05,-4.6583768665943726e-05
4,-4.563287022036466e-05,-4.563287022039846e-05,-4.5632870220444505e-05,-4.56328702203706e-05,-4.563287022047432e-05,-4.563287022033849e-05,-4.563287022036233e-05,-4.563287022047956e-05,-4.5632870220304324e-05,-4.563287022038612e-05,-4.563287022045726e-05,-4.563287022032091e-05,-4.5632870220411965e-05,-4.56328702204287e-05,-4.5632870220403705e-05,-4.5632870220423044e-05,-4.563287022042146e-05,-4.563287022037219e-05,-4.563287022036425e-05,-4.563287022047909e-05,-4.563287022034718e-05,-4.5632870220392795e-05,-4.563287022045287e-05,-4.563287022037504e-05,-4.5632870220288054e-05,-4.563287022051691e-05,-4.563287022032493e-05,-4.563287022034998e-05,-4.563287022049414e-05,-4.563287022032339e-05,-4.563287022041313e-05,-4.563287022043099e-05,-4.563287022036144e-05,-4.5632870220422204e-05,-4.563287022039925e-05,-4.563287022044333e-05
5,-4.470158099345644e-05,-4.470158099349025e-05,-4.4701580993534286e-05,-4.470158099346141e-05,-4.4701580993563824e-05,-4.470158099343342e-05,-4.4701580993452924e-05,-4.47015809935682e-05,-4.470158099339839e-05,-4.47015809934782e-05,-4.470158099354514e-05,-4.470158099341429e-05,-4.470158099350503e-05,-4.47015809935199e-05,-4.4701580993493845e-05,-4.470158099351249e-05,-4.470158099351208e-05,-4.470158099346378e-05,-4.470158099345559e-05,-4.4701580993568906e-05,-4.4701580993438836e-05,-4.470158099348246e-05,-4.47015809935424e-05,-4.470158099346775e-05,-4.470158099338287e-05,-4.470158099360668e-05,-4.470158099341519e-05,-4.4701580993444284e-05,-4.4701580993582465e-05,-4.4701580993416664e-05,-4.470158099350315e-05,-4.470158099352098e-05,-4.4701580993453994e-05,-4.4701580993512785e-05,-4.470158099348951e-05,-4.470158099353388e-05
6,-4.378927580696452e-05,-4.378927580699694e-05,-4.378927580703851e-05,-4.3789275806968705e-05,-4.378927580706824e-05,-4.3789275806938225e-05,-4.3789275806963406e-05,-4.378927580707358e-05,-4.378927580690886e-05,-4.378927580698548e-05,-4.378927580705182e-05,-4.378927580691953e-05,-4.37892758070114e-05,-4.3789275807024406e-05,-4.378927580699964e-05,-4.3789275807017155e-05,-4.378927580701676e-05,-4.378927580697023e-05,-4.3789275806963e-05,-4.37892758070728e-05,-4.378927580694923e-05,-4.378927580699042e-05,-4.3789275807047635e-05,-4.378927580697332e-05,-4.378927580688944e-05,-4.378927580711134e-05,-4.3789275806924124e-05,-4.378927580694964e-05,-4.378927580708613e-05,-4.378927580692524e-05,-4.3789275807008746e-05,-4.378927580702628e-05,-4.3789275806960296e-05,-4.3789275807017873e-05,-4.378927580699657e-05,-4.378927580704077e-05
7,-4.2895361605865655e-05,-4.28953616058989e-05,-4.289536160594073e-05,-4.289536160587237e-05,-4.289536160596985e-05,-4.289536160584362e-05,-4.2895361605864537e-05,-4.2895361605975085e-05,-4.2895361605812244e-05,-4.289536160588843e-05,-4.289536160595454e-05,-4.2895361605826434e-05,-4.289536160591457e-05,-4.2895361605928396e-05,-4.289536160590338e-05,-4.289536160592131e-05,-4.2895361605919445e-05,-4.289536160587387e-05,-4.289536160586678e-05,-4.2895361605975085e-05,-4.2895361605851086e-05,-4.289536160589217e-05,-4.289536160594968e-05,-4.2895361605877235e-05,-4.289536160579731e-05,-4.289536160601057e-05,-4.289536160583017e-05,-4.289536160585445e-05,-4.2895361605987776e-05,-4.289536160583017e-05,-4.289536160591309e-05,-4.2895361605928776e-05,-4.2895361605864896e-05,-4.289536160592315e-05,-4.289536160590039e-05,-4.289536160594222e-05
8,-4.2019275469876685e-05,-4.201927546990595e-05,-4.201927546994912e-05,-4.2019275469881096e-05,-4.201927546997473e-05,-4.20192754698529e-05,-4.201927546987228e-05,-4.201927546998132e-05,-4.201927546982255e-05,-4.201927546989609e-05,-4.2019275469962676e-05,-4.201927546983353e-05,-4.201927546991875e-05,-4.201927546993522e-05,-4.201927546991143e-05,-4.201927546992643e-05,-4.201927546992827e-05,-4.201927546988219e-05,-4.201927546987376e-05,-4.2019275469982056e-05,-4.201927546986098e-05,-4.2019275469900477e-05,-4.2019275469956814e-05,-4.2019275469886924e-05,-4.201927546980644e-05,-4.2019275470017164e-05,-4.20192754698368e-05,-4.2019275469863166e-05,-4.20192754699945e-05,-4.201927546983939e-05,-4.201927546992022e-05,-4.2019275469936696e-05,-4.20192754698712e-05,-4.2019275469927914e-05,-4.201927546990521e-05,-4.2019275469948764e-05
9,-4.1160482765303854e-05,-4.1160482765335736e-05,-4.1160482765374815e-05,-4.116048276530672e-05,-4.1160482765402394e-05,-4.1160482765281235e-05,-4.116048276530388e-05,-4.116048276540813e-05,-4.116048276525084e-05,-4.1160482765324325e-05,-4.116048276538777e-05,-4.1160482765263745e-05,-4.1160482765346836e-05,-4.116048276536226e-05,-4.116048276533893e-05,-4.116048276535546e-05,-4.1160482765354025e-05,-4.1160482765309586e-05,-4.116048276530314e-05,-4.116048276540818e-05,-4.116048276528994e-05,-4.1160482765328967e-05,-4.1160482765382696e-05,-4.116048276531386e-05,-4.116048276523359e-05,-4.116048276544142e-05,-4.116048276526656e-05,-4.1160482765291324e-05,-4.116048276541962e-05,-4.1160482765267696e-05,-4.1160482765347574e-05,-4.116048276536191e-05,-4.116048276529955e-05,-4.11604827653544e-05,-4.116048276533579e-05,-4.116048276537444e-05
