,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,5486205.293999115,5492278.18959118,5497534.475725076,5501809.525881307,5504966.609582833,5506902.650785911,5507554.343670203,5506900.47310864,5504962.863018183,5501805.894111431,5497531.9657720765,5492276.733290055,5486204.455691347,5479502.490669204,5472375.163985228,5465037.550721141,5457709.438903707,5450609.509438362,5443949.661981574,5437929.404584715,5432730.27683306,5428510.373498178,5425399.155188444,5423492.842136987,5422850.751392779,5423492.927325688,5425399.320814524,5428510.6107344795,5432730.573929481,5437929.748263256,5443950.038877787,5450609.907626818,5457709.850093607,5465037.9749892885,5472375.621773705,5479503.051541935
1,5244101.375932207,5250173.532010357,5255429.197530201,5259703.763618706,5262860.504641287,5264796.337074759,5265447.956496878,5264794.14860039,5262856.737584375,5259700.114177174,5255426.677530038,5250172.070604242,5244100.534337012,5237399.404264054,5230272.979624769,5222936.305076352,5215609.135803526,5208510.119489392,5201851.124314061,5195831.63044335,5190633.154451419,5186413.773533875,5183302.93599285,5181396.85430922,5180754.841394539,5181396.940320165,5183303.10320889,5186414.013027071,5190633.454338127,5195831.977294943,5201851.504612921,5208510.521165802,5215609.550439606,5222936.732647201,5230273.440516141,5237399.968105786
2,5011440.142087349,5017512.641345625,5022768.6421813555,5027043.521692413,5030200.5232973145,5032136.518229572,5032788.186036524,5032134.307751043,5030196.714637914,5027039.836211678,5022766.101479583,5017511.169308908,5011439.293658997,5004737.821914561,4997611.061616017,4990274.061248166,4982946.576478205,4975847.254402062,4969187.964037372,4963168.18977401,4957969.456667596,4953749.854134735,4950638.84457993,4948732.653701855,4948090.603819504,4948732.74137808,4950639.015016296,4953750.09819954,4957969.762207176,4963168.54305518,4969188.351232871,4975847.663150816,4982946.998106792,4990274.495530296,4997611.528834805,5004738.391858228
3,4788035.066814306,4794108.950857537,4799366.206778968,4803642.167169097,4806800.01001565,4808736.524797472,4809388.3582160985,4808734.281369451,4806796.139147258,4803638.427701467,4799363.634906498,4794107.462707815,4788034.208009344,4781331.262741048,4774202.97622147,4766864.433690664,4759535.423335008,4752434.623039423,4745773.933730686,4739752.87490428,4734553.010392825,4730332.47050543,4727220.757165754,4725314.1294762185,4724671.932202914,4725314.219662446,4727220.932455868,4730332.721460413,4734553.324451772,4739753.237874682,4745774.33131838,4752435.042444292,4759535.855499422,4766864.878087972,4774203.452988083,4781331.84191901
4,4573695.327273415,4579771.598778102,4585030.99529852,4589308.775583252,4592468.018950931,4594405.397758472,4595057.509649081,4594403.1107031265,4592464.065753351,4589304.964607411,4585028.38199324,4579770.089091348,4573694.454553261,4566988.946316971,4559857.987682997,4552516.7323162295,4545185.031732808,4538081.624783543,4531418.474193947,4525395.164280948,4520193.326816944,4515971.16061351,4512858.231597587,4510950.851725756,4510308.400777706,4510950.945275242,4512858.413391037,4515971.420799415,4520193.652287784,4525395.540227759,4531418.885696055,4538082.058452023,4545185.47799563,4552517.190246858,4559858.477227955,4566989.537868506
5,4368225.931065493,4374305.555809876,4379567.945972237,4383848.258215024,4387009.441140719,4388948.015669402,4389600.514763594,4388945.674584618,4387005.385972573,4383844.358647812,4379565.281200328,4374304.019234324,4368225.04089848,4361515.9204402985,4354381.186141251,4347036.090565187,4339700.57820086,4332593.477899121,4325926.842948774,4319900.351097107,4314695.730146715,4310471.274019935,4307356.63625369,4305448.200418885,4304805.393431948,4305448.298200162,4307356.826229143,4310471.545817701,4314696.0699697705,4319900.743358986,4325927.271938805,4332593.929486268,4339701.042165665,4347036.565479945,4354381.691719001,4361516.527518984
6,4171427.9022068777,4177511.8109803437,4182778.017034942,4187061.547739775,4190225.190076288,4192165.280189045,4192818.271313003,4192162.874959453,4190221.0137775177,4187057.542953602,4182775.291012435,4177510.2422494367,4171426.9910699544,4164713.2472391147,4157573.6738777133,4150223.651786369,4142883.2469568145,4135771.406184958,4129100.301016387,4123069.730186244,4117861.544602239,4113634.158960247,4110517.3371881605,4108607.552583365,4107964.2909065937,4108607.655486919,4110517.5370661477,4113634.444808851,4117861.9017871474,4123070.1421770058,4129100.751143405,4135771.8794168206,4142883.732289447,4150224.14718669,4157574.198780016,4164713.8730200017
7,3983098.520910856,3989187.611311975,3994458.426293781,3998745.8377084616,4001912.441109672,4003854.3554427666,4004507.9397271867,4003851.876253811,4001908.1250140965,3998741.711554679,3994455.6295088083,3989186.005256758,3983097.58529115,3976378.2430735887,3969232.805342501,3961876.809392614,3954530.470188941,3947412.8793792007,3940736.3534393334,3934700.8386509074,3929488.3351397417,3925257.4031453067,3922137.9389901664,3920226.5232018703,3919582.7117033964,3920226.6321468074,3922138.1505458388,3925257.705559542,3929488.712786874,3934701.273883015,3940736.828451988,3947413.378075925,3954530.980638414,3961877.328848053,3969233.352911374,3976378.890760108
8,3803031.612401214,3809126.750532919,3814402.93974615,3818694.8710825704,3821864.9199202457,3823808.956449619,3824463.231527366,3823806.393804915,3821860.445878303,3818690.607921094,3814400.062982283,3809125.102094189,3803030.6487976187,3796304.7674608477,3789152.476195274,3781789.4960194486,3774436.217331644,3767311.9025482256,3760629.038777673,3754587.745457346,3749370.1971328417,3745135.1235142206,3742012.5745906513,3740099.2550520813,3739454.80193632,3740099.3709928114,3742012.7996665537,3745135.445102493,3749370.598454692,3754588.207565343,3760629.5425480884,3767312.430646931,3774436.756750692,3781790.0431847544,3789153.0498354584,3796305.440291344
9,3631017.879792378,3637119.901862196,3642402.2042790605,3646699.272856392,3649873.2350731725,3651819.6816440835,3652474.741836549,3651817.0263862065,3649868.585484962,3646694.857591824,3642399.238640088,3637118.2061027167,3631016.8847173695,3624283.556058001,3617123.456395267,3609752.516723718,3602391.3283718154,3595259.349497456,3588569.26261863,3582521.385035788,3577298.0900524827,3573058.2999801734,3569932.239057578,3568016.752532605,3567371.5691678934,3568016.876465588,3569932.4795765337,3573058.6434624176,3577298.5183951766,3582521.87779978,3588569.7991662584,3595259.9110749583,3602391.9007371636,3609753.0953554986,3617124.059586208,3624284.2573118177
