,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-2.49046298953998e-05,-2.4904654018601284e-05,-2.4904679593052695e-05,-2.4904755961859155e-05,-2.4904771901695412e-05,-2.4904799010736986e-05,-2.490488009810189e-05,-2.490485480564626e-05,-2.4904832304075775e-05,-2.4904788148240537e-05,-2.4904728742205975e-05,-2.4904684225954613e-05,-2.490464639739163e-05,-2.490461549528632e-05,-2.490459196183726e-05,-2.490457586914346e-05,-2.490456724963037e-05,-2.4904566333293267e-05,-2.4904573636191137e-05,-2.490458989690028e-05,-2.490461586568079e-05,-2.490465197335233e-05,-2.4904697948071805e-05,-2.49047525056128e-05,-2.4904813187797553e-05,-2.4904795467845095e-05,-2.4904737509346417e-05,-2.4904686988145045e-05,-2.4904645684211465e-05,-2.4904614285825404e-05,-2.4904592618641298e-05,-2.4904579991425185e-05,-2.490457553731536e-05,-2.4904578441189117e-05,-2.4904588398643466e-05,-2.4904603244834365e-05
1,-2.3177367679653076e-05,-2.317735594265909e-05,-2.3177346339618763e-05,-2.3177386188805742e-05,-2.317737506409738e-05,-2.3177384104855464e-05,-2.3177454747868016e-05,-2.3177438221831054e-05,-2.3177435421376142e-05,-2.3177419732965763e-05,-2.3177394142167836e-05,-2.3177385113945157e-05,-2.317738371785759e-05,-2.3177388995756083e-05,-2.317740053226563e-05,-2.3177418013216928e-05,-2.3177441420754345e-05,-2.317747102744592e-05,-2.317750723015902e-05,-2.3177550295486813e-05,-2.3177600076779847e-05,-2.3177655757566756e-05,-2.3177715680005315e-05,-2.317777733217069e-05,-2.3177837489150338e-05,-2.3177817149370567e-05,-2.3177752177151936e-05,-2.3177687888864413e-05,-2.3177627264407196e-05,-2.3177572352627185e-05,-2.3177524209194345e-05,-2.3177483033871265e-05,-2.3177448437108693e-05,-2.3177419738322003e-05,-2.3177396585860877e-05,-2.317737698705284e-05
2,-2.225528286571604e-05,-2.2255166472337485e-05,-2.2255064296016085e-05,-2.225502486380747e-05,-2.225495530400596e-05,-2.2254927741705257e-05,-2.2254983703217056e-05,-2.2254980882444693e-05,-2.225501547691498e-05,-2.2255059003861567e-05,-2.225511132136916e-05,-2.2255195071232184e-05,-2.2255298645934432e-05,-2.2255417821364915e-05,-2.2255548830905303e-05,-2.2255688077610713e-05,-2.2255832351088616e-05,-2.2255978789865404e-05,-2.2256124676524372e-05,-2.2256267174069186e-05,-2.2256403090194475e-05,-2.2256528736338493e-05,-2.2256639932743455e-05,-2.2256732204034927e-05,-2.2256801117108498e-05,-2.2256770348224347e-05,-2.2256674804035148e-05,-2.2256559341601704e-05,-2.225642888930712e-05,-2.2256288004280938e-05,-2.2256140605053464e-05,-2.225598993391783e-05,-2.2255838707772283e-05,-2.225568936843362e-05,-2.225554469558197e-05,-2.2255405954134186e-05
3,-2.1352207540569103e-05,-2.1351990387205673e-05,-2.1351799069718985e-05,-2.135168324769222e-05,-2.1351557394811987e-05,-2.13514945626036e-05,-2.1351536339543998e-05,-2.135154674307604e-05,-2.1351617381040686e-05,-2.1351717965744748e-05,-2.1351845334787212e-05,-2.135201843095438e-05,-2.1352223074911494e-05,-2.1352451899642284e-05,-2.1352697914461406e-05,-2.13529543650241e-05,-2.1353214970566606e-05,-2.1353473855215212e-05,-2.135372530540919e-05,-2.135396349724978e-05,-2.1354182306184396e-05,-2.135437527764065e-05,-2.135453580264395e-05,-2.135465751466898e-05,-2.135473481768604e-05,-2.1354694017723217e-05,-2.13545690766074e-05,-2.1354404381335277e-05,-2.1354206736910972e-05,-2.1353983116377024e-05,-2.1353740195245277e-05,-2.135348414494442e-05,-2.135322067198117e-05,-2.1352955222106043e-05,-2.135269358649236e-05,-2.135244016384594e-05
4,-2.0468557069558256e-05,-2.0468242850778544e-05,-2.0467965646730447e-05,-2.046777617941183e-05,-2.0467596062440097e-05,-2.0467499224801393e-05,-2.046752729175742e-05,-2.0467550461087555e-05,-2.0467655861428276e-05,-2.0467811456931748e-05,-2.046801116711962e-05,-2.046827035574851e-05,-2.0468572370206845e-05,-2.0468906816445865e-05,-2.046926360008209e-05,-2.046963292851579e-05,-2.0470005566959595e-05,-2.047037273915419e-05,-2.0470725847865657e-05,-2.047105619313446e-05,-2.0471354825570267e-05,-2.0471612624705394e-05,-2.0471820639546454e-05,-2.0471970680179326e-05,-2.047205602990698e-05,-2.047200557402234e-05,-2.047185234408399e-05,-2.047164025009005e-05,-2.047137790636829e-05,-2.0471074615043074e-05,-2.0470739708686067e-05,-2.0470382180463223e-05,-2.0470010615479662e-05,-2.0469633350608457e-05,-2.046925907430721e-05,-2.0468895201106394e-05
5,-1.9604728291472455e-05,-1.960432051201779e-05,-1.9603960509291754e-05,-1.9603700003692627e-05,-1.9603467546422624e-05,-1.9603337903685073e-05,-1.9603352714290014e-05,-1.9603388211653418e-05,-1.9603527158322774e-05,-1.960373582092498e-05,-1.96040052992432e-05,-1.960434749376637e-05,-1.9604743370703142e-05,-1.960517961808023e-05,-1.9605643151790718e-05,-1.960612125423274e-05,-1.9606601847440762e-05,-1.9607073363446507e-05,-1.96075244284483e-05,-1.960794357174914e-05,-1.960831912087746e-05,-1.9608639384000632e-05,-1.9608893150148772e-05,-1.960907046955297e-05,-1.9609163544296515e-05,-1.9609103786130313e-05,-1.9608923312522768e-05,-1.9608665553117548e-05,-1.960834086853887e-05,-1.9607960808337606e-05,-1.96075372678158e-05,-1.9607081960123574e-05,-1.960660624345424e-05,-1.9606121238338347e-05,-1.960563842165776e-05,-1.960516811131016e-05
6,-1.8761094158428215e-05,-1.8760596144282678e-05,-1.8760156274013363e-05,-1.8759827208456035e-05,-1.8759544236779e-05,-1.8759382929327652e-05,-1.8759384917514235e-05,-1.8759432324281003e-05,-1.8759603661396323e-05,-1.8759863543799674e-05,-1.8760200346287185e-05,-1.8760622617585838e-05,-1.8761109028608023e-05,-1.8761643452181964e-05,-1.876220992242949e-05,-1.8762792904435178e-05,-1.8763377582680176e-05,-1.8763949701101174e-05,-1.8764495211345355e-05,-1.8764999972084177e-05,-1.876544968419536e-05,-1.876583017376088e-05,-1.8766128047041845e-05,-1.876633165399461e-05,-1.876643215231183e-05,-1.8766363425235164e-05,-1.876615669383985e-05,-1.876585490740567e-05,-1.8765470113826767e-05,-1.876501603327731e-05,-1.8764507034715973e-05,-1.8763957454836704e-05,-1.876338132461706e-05,-1.8762792445852113e-05,-1.876220498004335e-05,-1.8761632041221805e-05
7,-1.7937998851365634e-05,-1.7937413759975366e-05,-1.793689680575939e-05,-1.793650153805851e-05,-1.79361697867532e-05,-1.7935977898928836e-05,-1.7935967480056772e-05,-1.793602639520934e-05,-1.7936229022459904e-05,-1.7936538367405336e-05,-1.793694017146917e-05,-1.793743973881592e-05,-1.793801352493189e-05,-1.793864268414037e-05,-1.7939308471059848e-05,-1.79399926358882e-05,-1.7940677726225774e-05,-1.7941346896711734e-05,-1.794198352163186e-05,-1.7942570884191145e-05,-1.794309215001378e-05,-1.7943530747436042e-05,-1.7943871172625156e-05,-1.794410013113058e-05,-1.7944207770630276e-05,-1.794413038889324e-05,-1.79438983297099e-05,-1.794355406511962e-05,-1.7943111275004494e-05,-1.794258577791548e-05,-1.7941994332342774e-05,-1.794135380710725e-05,-1.7940680810583515e-05,-1.793999172824978e-05,-1.7939303307234277e-05,-1.793863135541157e-05
8,-1.713575339019761e-05,-1.7135084219897198e-05,-1.7134492826309248e-05,-1.7134033601347798e-05,-1.713365472041856e-05,-1.7133433284136943e-05,-1.713341085601391e-05,-1.7133480894711805e-05,-1.7133713763048845e-05,-1.7134070897392868e-05,-1.713453549471288e-05,-1.7135109717417214e-05,-1.713576787961211e-05,-1.7136488508085214e-05,-1.7137250174855972e-05,-1.7138032012674993e-05,-1.7138814028221275e-05,-1.713957688106109e-05,-1.7140301460718095e-05,-1.714096856540453e-05,-1.714155891213853e-05,-1.714205361118164e-05,-1.714243511701614e-05,-1.714268854317648e-05,-1.714280305940009e-05,-1.7142717319188145e-05,-1.714246080946474e-05,-1.7142075531069225e-05,-1.714157674410969e-05,-1.7140982297556225e-05,-1.714031125996975e-05,-1.7139582945625744e-05,-1.7138816449582164e-05,-1.7138030647985995e-05,-1.713724477916734e-05,-1.713647724724924e-05
9,-1.6354631752819477e-05,-1.6353881351533e-05,-1.6353218031993417e-05,-1.6352696988749077e-05,-1.6352272549344264e-05,-1.6352022547458924e-05,-1.635198849125006e-05,-1.6352069283481725e-05,-1.635233139106639e-05,-1.6352734720277214e-05,-1.6353260010249714e-05,-1.635390637995961e-05,-1.6354646070508463e-05,-1.6355455066683305e-05,-1.6356309349733256e-05,-1.635718552766689e-05,-1.6358061157724475e-05,-1.6358914494262317e-05,-1.635972403026591e-05,-1.6360468164982377e-05,-1.6361125248959087e-05,-1.636167414965134e-05,-1.6362095344242735e-05,-1.6362372403367377e-05,-1.636249354874402e-05,-1.636239972914912e-05,-1.636211959626912e-05,-1.6361694688487648e-05,-1.636114179769825e-05,-1.636048073937072e-05,-1.635973281708698e-05,-1.63589197083987e-05,-1.6358062908766095e-05,-1.6357183696342035e-05,-1.635630371057834e-05,-1.635544385871325e-05
