,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,4824106.714670711,4824964.917459961,4825745.854037184,4826445.305560534,4827059.471119433,4827584.9945838675,4828018.989552178,4828359.061732531,4828603.328087055,4828750.432197975,4828799.555472363,4828750.423938461,4828603.310496646,4828359.032584018,4828018.945308471,4827584.93022314,4827059.380055164,4826445.179868277,4825745.685279261,4824964.698352642,4824106.4415131,4823175.529184598,4822176.936192486,4821115.962042121,4819998.191684991,4818829.455491387,4817615.79153542,4816363.411018044,4815078.665243053,4813768.012202742,4812437.982229627,4811095.143540735,4809746.068555207,4808397.3011336215,4807055.3249142375,4805726.534850048,4804417.21483976,4803133.517727839,4801881.443366459,4800666.814563111,4799495.252893282,4798372.155869221,4797302.67586841,4796291.700633038,4795343.835051216,4794463.38403269,4793654.336410327,4792920.349877507,4792264.737013582,4791690.4524690565,4791200.081391284,4790795.829174314,4790479.512615547,4790252.552557462,4790115.968084207,4790070.372331952,4790115.969956862,4790252.556288299,4790479.518176709,4790795.836526815,4791200.090489021,4791690.463265262,4792264.749471359,4792920.36398714,4793654.352218257,4794463.401690816,4795343.854901027,4796291.723348018,4797302.702687845,4798372.1889601685,4799495.295853782,4800666.872987641,4801881.525183417,4803133.632702289,4804417.372471398,4805726.740541278,4807055.576287868,4808397.588342184,4809746.380057087,4811095.471912783,4812438.324897541,4813768.368912428,4815079.03589616,4816363.79504426,4817616.187641394,4818829.860352452,4819998.597793703,4821116.356678641,4822177.303360541,4823175.85405844
1,4584000.991973199,4584859.3601669725,4585640.447997514,4586340.03562853,4586954.321230753,4587479.947832788,4587914.02828269,4588254.167647031,4588498.482371295,4588645.615658753,4588694.748684098,4588645.607394889,4588498.464764041,4588254.138452306,4587913.983936265,4587479.883272522,4586954.229812343,4586339.909348325,4585640.278318285,4584859.13969911,4584000.7169378,4583069.625624742,4582070.841918168,4581009.666790164,4579891.686692791,4578722.733421502,4577508.846364112,4576256.237965776,4574971.26076329,4573660.373991244,4572330.109216142,4570987.035865319,4569637.727555221,4568288.72932798,4566946.525877223,4565617.512914258,4564307.974916255,4563024.065343723,4561771.784778447,4560556.956824971,4559385.203857018,4558261.924148112,4557192.270788677,4556181.132186685,4555233.113852728,4554352.521278345,4553543.343838237,4552809.239726871,4552153.521982143,4551579.145668181,4551088.696298337,4550684.379582258,4550368.012579844,4550141.016340536,4550004.410097839,4549958.807078144,4550004.411967711,4550141.020065564,4550368.018131696,4550684.386921255,4551088.7053775,4551579.156439729,4552153.534408095,4552809.253796466,4553543.359597099,4554352.538878123,4555233.133635917,4556181.154830447,4557192.297541683,4558261.957198748,4559385.246848507,4560557.015440533,4561771.867103294,4563024.181378546,4564308.134428447,4565617.721455142,4566946.780893003,4568289.020444993,4569638.042700683,4570987.3674096,4572330.454663658,4573660.7332583815,4574971.633894678,4576256.624494009,4577509.245083666,4578723.141072016,4579892.095755027,4581010.064412915,4582071.211883319,4583069.952893777
2,4353606.776120002,4354465.468856568,4355246.853458973,4355946.7081409665,4356561.22927207,4357087.058231286,4357521.306395667,4357861.577573858,4358105.987198343,4358253.177729315,4358302.32988574,4358253.169456821,4358105.969557525,4357861.5482868925,4357521.261844158,4357086.993272813,4356561.137147575,4355946.58068987,4355246.681947112,4354465.245685071,4353606.497355816,4352675.054838736,4351675.896909693,4350614.327422971,4349495.935779426,4348326.5565734925,4347112.231771129,4345859.176258308,4344573.744990635,4343262.399639584,4341931.674191268,4340588.140445421,4339238.374367982,4337888.9233276425,4336546.274102049,4335216.823889573,4333906.858289901,4332622.531960752,4331369.846909697,4330154.62830349,4328982.500082113,4327858.862013206,4326788.868586423,4325777.409516313,4324829.091534957,4323948.22127549,4323138.789175757,4322404.454413403,4321748.530926027,4321173.974589314,4320683.371634749,4320278.928391207,4319962.462433644,4319735.395217579,4319598.746269589,4319553.128993074,4319598.748133352,4319735.398929905,4319962.467965255,4320278.9357010415,4320683.380674081,4321173.985308342,4321748.543284608,4322404.4683987135,4323138.804831825,4323948.238753535,4324829.111179585,4325777.432012197,4326788.895201217,4327858.894978209,4328982.543131167,4330154.687297543,4331369.930248076,4332622.650116929,4333907.021570107,4335217.038146968,4336546.536427772,4337889.222283079,4339238.696806325,4340588.478323805,4341932.025176795,4343262.763994225,4344574.123047488,4345859.56775648,4347112.635680232,4348326.969761068,4349496.350703225,4350614.73097171,4351676.272425702,4352675.386861952
3,4132734.76164896,4133593.932140426,4134375.753609374,4135076.0014015203,4135690.8692370374,4136216.99606842,4136651.4911087914,4136991.9563162737,4137236.5056330315,4137383.7804260086,4137432.9607435507,4137383.772141663,4137236.4879439976,4136991.9268940464,4136651.4462537975,4136216.9305182146,4135690.776061471,4135075.872206483,4134375.5793678933,4133593.7049423717,4132734.477331528,4131802.517784467,4130802.808934946,4129740.658889017,4128621.661397733,4127451.6551805167,4126236.685998099,4124982.972327053,4123696.872681726,4122384.8523190087,4121053.4487827555,4119709.2373590004,4118358.7974720593,4117008.679934709,4115665.374625249,4114335.2809309033,4113024.686076545,4111739.7464578673,4110486.466170033,4109270.672676914,4108097.992224631,4106973.826781145,4105903.3328964803,4104891.402208854,4103942.6432485967,4103061.3643294014,4102251.557454149,4101516.883247787,4100860.65697236,4100285.8356982484,4099795.0067141107,4099390.3772604195,4099073.765670382,4098846.593997328,4098709.8821992953,4098664.243940277,4098709.8840525206,4098846.5976878484,4099073.771167488,4099390.38452098,4099795.01568677,4100285.8463301645,4100860.669220162,4101516.897095566,4102251.57294358,4103061.3816111432,4103942.662670558,4104891.424467203,4105903.3592876843,4106973.8596013426,4108098.0353443297,4109270.732225173,4110486.5510211065,4111739.867803133,4113024.8550459417,4114335.5038454873,4115665.6480364273,4117008.9907631073,4118359.130918595,4119709.584757015,4121053.8080596607,4122385.2242706935,4123697.2580826925,4124983.371229551,4126237.0976354596,4127452.076613086,4128622.0850508586,4129741.071264497,4130803.1927192407,4131802.856888663
4,3921189.266968607,3922049.062819571,3922831.456117229,3923532.2184571014,3924147.540094616,3924674.05680841,3925108.874980938,3925449.594149475,3925694.326306513,3925841.7113886555,3925890.928566708,3925841.70309127,3925694.3085585777,3925449.56455472,3925108.8297315002,3924673.990482205,3924147.4455344975,3923532.086959642,3922831.2782676783,3922048.8302949825,3921188.97530021,3920256.3389429264,3919255.9089139053,3918192.9988995697,3917073.208360737,3915902.381423252,3914686.5688128164,3913431.9937004033,3912145.0192543804,3910832.115420972,3909499.824393045,3908154.7260081354,3906803.4042156544,3905452.4143712125,3904108.250474051,3902777.3147785757,3901465.8965893327,3900180.154534548,3898926.0954231243,3897709.5497219777,3896536.1466969526,3895411.2911975756,3894340.1424716054,3893327.5946755796,3892378.258693743,3891496.445039551,3890686.1477644304,3889951.0293877954,3889294.4069053493,3888719.238951344,3888228.114198323,3887823.2410800997,3887506.4389225035,3887279.130561471,3887142.336519873,3887096.6708028456,3887142.3383564353,3887279.1342176907,3887506.444365745,3887823.2482644506,3888228.1230688933,3888719.249451219,3889294.4189868285,3889951.0430308594,3890686.163007651,3891496.4620329174,3892378.2777897455,3893327.6165860216,3894340.1685318463,3895411.323790993,3896536.1898777876,3897709.6099803513,3898926.1822755444,3900180.2801497784,3901466.073229868,3902777.5494219465,3904108.53893693,3905452.741295543,3906803.7525122417,3908155.086168936,3909500.194725712,3910832.4974655174,3912145.4143919833,3913432.402408452,3914686.9906799393,3915902.8137706,3917073.643574843,3918193.422969658,3919256.303653297,3920256.687425794
5,3718768.4707520264,3719629.03425835,3720412.1294875913,3721113.5234373673,3721729.4021140873,3722256.397403133,3722691.6122141983,3723032.643114413,3723277.5997041017,3723425.1201647976,3723474.3825903353,3723425.111856169,3723277.5818924094,3723032.6133183166,3722691.5664902427,3722256.3301299466,3721729.305851905,3721113.3890981684,3720411.94717428,3719628.7951332186,3718768.169962512,3717834.702734744,3716833.3873588042,3715769.544393593,3714648.7803319683,3713476.9459460024,3712260.0980514525,3711004.4655723185,3709716.4173828317,3708402.4291791124,3707069.0488476628,3705722.8617928363,3704370.4575138437,3703018.396997559,3701673.179405793,3700341.210519758,3699028.7821229314,3697742.055518072,3696487.0408165418,3695269.572166159,3694095.282541396,3692969.5803311374,3691897.628095786,3690884.323083582,3689934.2790683396,3689051.8092637835,3688240.910236,3687505.2468299707,3686848.1381696346,3686272.544809106,3685781.057119883,3685375.8850008664,3685058.848996562,3684831.3729037708,3684694.4779388467,3684648.7785257767,3684694.4797503147,3684831.376508565,3685058.8543596137,3685375.892072738,3685781.0658412166,3686272.5551178344,3686848.1500126,3687505.260181985,3688240.925131768,3689051.8258525482,3689934.297708527,3690884.3445069264,3691897.6536869286,3692969.612583711,3694095.325741887,3695269.6332624652,3696487.130144279,3697742.1865036637,3699028.96850484,3700341.4601532826,3701673.487163768,3703018.7445163406,3704370.824690899,3705723.2380514555,3707069.4330274,3708402.823805115,3709716.8246255564,3711004.8864539657,3712260.5326121333,3713477.3918404607,3714649.229905544,3715769.982997942,3716833.7957138093,3717835.0628669
6,3525264.720284212,3526126.188713337,3526910.1113741593,3527612.249851684,3528228.785148613,3528756.344564095,3529192.026916227,3529533.425272487,3529778.6464144746,3529926.3264555703,3529975.6422202643,3529926.318141438,3529778.6285418747,3529533.395257394,3529191.9806519905,3528756.276190267,3528228.686887292,3527612.112155242,3526909.9237685553,3526125.941743081,3525264.408632622,3524329.961888878,3523327.602764769,3522262.659951385,3521140.748262759,3519967.7263180087,3518749.6581041333,3517492.779312452,3516203.465532587,3514888.1992288325,3513553.53497908,3512206.0647178716,3510852.3844757224,3509499.06195717,3508152.6025703046,3506819.4162704577,3505505.7976565296,3504217.911087997,3502961.7705275696,3501743.214454293,3500567.880216866,3499441.1803792254,3498368.281408104,3497354.0841966597,3496403.2059249803,3495519.9629898425,3494708.354921648,3493972.0493068774,3493314.367778446,3492738.2731538797,3492246.357807737,3491840.8333663135,3491523.52181102,3491295.8480716185,3491158.834182165,3491113.0950605106,3491158.8359571267,3491295.8516018935,3491523.527058568,3491840.8402773887,3492246.3663175344,3492738.2831940507,3493314.379289188,3493972.062256734,3494708.3693406703,3495519.9790264643,3496403.2239449937,3497354.1049562073,3498368.30635187,3499441.212134897,3500567.923353594,3501743.276479443,3502961.862785277,3504218.0485700266,3505505.995966588,3506819.6844071476,3508152.9342361013,3509499.4349371777,3510852.774816962,3512206.4605360897,3513553.9358398556,3514888.608923771,3516203.887226474,3517493.2147019813,3518750.1077832393,3519968.188354117,3521141.2149626995,3522263.1159045156,3523328.027372389,3524330.335914653
7,3340464.905703959,3341327.4115580665,3342112.282788411,3342815.274784224,3343432.562817915,3343960.7689343877,3344396.987263254,3344738.806861521,3344984.3312805616,3345132.1942635113,3345181.571179826,3345132.1859545335,3344984.313359508,3344738.7766236886,3344396.9404107807,3343960.699327688,3343432.462285392,3342815.133243679,3342112.0890938626,3341327.1555315685,3340464.5814811327,3339529.011704588,3338525.4558922555,3337459.2520984784,3336336.0247182096,3335161.641381822,3333942.1742859324,3332683.8668599427,3331393.10237719,3330076.3710469604,3328740.2350887083,3327391.2938754084,3326036.1509043756,3324681.381690216,3323333.499038041,3321998.917720938,3320683.9354185425,3319394.719860894,3318137.2893679454,3316917.487372867,3315740.9562419835,3314613.1133291023,3313539.1295808735,3312523.91006947,3311572.075879992,3310687.9470582805,3309875.5265331403,3309138.4850341473,3308480.14707087,3307903.4780560657,3307411.07266111,3307005.1444931175,3306687.5171812647,3306459.6169545664,3306322.4667848167,3306276.6821562294,3306322.4685081476,3306459.6203797776,3306687.522266775,3307005.1511800485,3307411.0808781637,3307903.487727415,3308480.1581288134,3309138.4974397975,3309875.54031107,3310687.962356057,3311572.0930722905,3312523.929941529,3313539.15364862,3314613.1443790602,3315740.9991787607,3316917.5503712045,3318137.384985555,3319394.8649968766,3320684.1479892936,3321999.208191594,3323333.859694135,3324681.785467182,3326036.5690155015,3327391.712877591,3328740.655522675,3330076.7983027655,3331393.540846798,3332684.3190565608,3333942.6414672555,3335162.1221147706,3336336.511279835,3337459.7281911084,3338525.8993670777,3339529.4018414402
8,3164150.8936641705,3165014.5649273833,3165800.5017294404,3166504.4525107746,3167122.586113551,3167651.5186840226,3168088.3390871445,3168430.631876302,3168676.4969753604,3168824.5654655453,3168874.0110818855,3168824.557178301,3168676.479029872,3168430.601428732,3168088.2916198913,3167651.4477379094,3167122.483067545,3166504.306673014,3165800.3011863553,3165014.298671775,3164150.5551964995,3163213.72373075,3162208.823465476,3161141.203024122,3160016.4976163087,3158840.5850133486,3157619.5466180164,3156359.634525833,3155067.2406219626,3153748.8637967105,3152411.0748123806,3151060.4813290136,3149703.6951952423,3148347.3008418446,3146997.819719242,3145661.6720697777,3144345.158838317,3143054.4513607747,3141795.5727731045,3140574.3720576973,3139396.497220545,3138267.371000322,3137192.169378122,3136175.8021211047,3135222.8947010976,3134337.771263145,3133524.4385538264,3132786.570833872,3132127.4958448512,3131550.1819155146,3131057.2262980673,3130650.844825486,3130332.862978643,3130104.708446642,3129967.4052551184,3129921.569524764,3129967.406907153,3130104.7117271475,3130332.86784188,3130650.851206562,3131057.2341180695,3131550.1910898574,3132127.5062965965,3132786.5825154567,3133524.4514834713,3134337.785587498,3135222.910805325,3136175.8208244755,3137192.1922795437,3138267.4010711154,3139396.539756441,3140574.4360161824,3141795.672149328,3143054.6053447877,3144345.388178491,3145661.9890946746,3146998.2150290753,3148347.741331672,3149704.146077788,3151060.927339226,3152411.5177851887,3153749.311114697,3155067.6981705497,3156360.1057914505,3157620.0336410394,3158841.0869560284,3160017.0067416537,3161141.702022594,3162209.288398923,3163214.132167109
9,2996100.0136020784,2996964.973972753,2997752.089425775,2998457.1007284275,2999076.169617909,2999605.905719689,3000043.3920774725,3000386.2082645856,3000632.4501935844,3000780.7460019933,3000830.2676169863,3000780.737760012,3000632.432261275,3000386.177639973,3000043.3439940736,2999605.833357774,2999076.0638509654,2998456.9501795922,2997751.8813173748,2996964.6963590975,2996099.6592565626,2995161.4320540894,2994155.0444785487,2993085.856906233,2991959.516572229,2990781.9124857346,2989559.1362112383,2988297.449396451,2987003.253427261,2985683.0567706106,2984343.4395821374,2982991.018591934,2981632.414825851,2980274.222757652,2978922.9738665856,2977585.094538972,2976266.889077279,2974974.532567734,2973714.053368597,2972491.306577798,2971311.946442237,2970181.401661529,2969104.8537876033,2968087.2177813947,2967133.123967034,2966246.9010239,2965432.559921819,2964693.778827958,2964033.8890596153,2963455.862171865,2962962.2982725822,2962555.4156577755,2962237.0418574046,2962008.6061763773,2961871.133806568,2961825.241573034,2961871.1353621716,2962008.609261571,2962237.0464216326,2962555.4216291658,2962962.305563408,2963455.870687398,2964033.898712231,2964693.7895600866,2965432.5717443936,2966246.9140825933,2967133.138659215,2968087.2349655908,2969104.875158086,2970181.430401769,2971311.9882981544,2972491.371413725,2973714.1568630394,2974974.696634728,2976267.1379036224,2977585.442806366,2978923.4101993446,2980274.7065808005,2981632.903957395,2982991.495672628,2984343.9081480214,2985683.526665692,2987003.732336089,2988297.9419524544,2989559.6453666575,2990782.4381042193,2991960.050926424,2993086.3815498464,2994155.5334361014,2995161.8609454716
