,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,13530769.73218837,13533561.134884343,13535219.289008642,13535761.822946008,13535312.52960724,13533971.66855326,13531780.6439661,13528775.38979867,13525047.057745561,13520756.920960542,13516083.572924383,13511184.909618558,13506212.464344589,13501318.540596476,13496658.850867806,13492407.748626174,13488746.308213305,13485814.921599554,13483671.013179945,13482277.758245004,13481554.54652592,13481452.864396034,13481965.61042501,13483074.198687606,13484734.837927386,13486914.800468152,13489601.921933727,13492762.2968156,13496324.594452925,13500228.05407634,13504437.024343507,13508891.181186408,13513490.646052662,13518136.634562254,13522718.239997279,13527037.997502258
1,13281939.115920499,13284731.0079348,13286388.788473744,13286930.543457193,13286480.689068919,13285139.710812964,13282948.808715692,13279943.599734962,13276215.064447895,13271924.676199447,13267251.282322327,13262352.785728011,13257380.68362518,13252487.212347215,13247827.89179979,13243576.959334286,13239915.580210147,13236984.336355377,13234840.863780877,13233448.302997034,13232725.733667444,13232624.480483891,13233137.579646248,13234246.46713413,13235907.155853294,13238086.866916347,13240773.654782077,13243933.68671867,13247495.385845965,13251397.975066574,13255606.156846257,13260059.75783969,13264658.702183269,13269304.236727498,13273885.833773766,13278206.323244175
2,13038363.189562768,13041156.872178297,13042814.413467275,13043354.8008422,13042903.709380418,13041562.098782036,13039370.782904997,13036364.767965551,13032634.722964123,13028342.560804583,13023667.683341004,13018768.056500986,13013795.152421251,13008901.121300621,13004241.149294095,12999989.293176547,12996326.946589349,12993395.104912406,12991251.84184941,12989860.226453135,12989138.707749013,12989038.27451933,12989552.227906825,12990662.04040925,12992323.32622601,12994503.195452102,12997190.129488628,13000350.428520076,13003912.0091248,13007814.044841038,13012021.9258643,13016475.758568998,13021075.047856001,13025721.069804886,13030304.007116651,13034627.212621754
3,12799930.653749008,12802727.386521658,12804384.819399111,12804923.26995411,12804470.285920506,12803127.541646129,12800935.290688382,12797927.64544198,12794194.82396996,12789899.409061728,12785221.651838617,12780319.63725144,12775344.823530424,12770449.2578039,12765787.65418332,12761533.821715018,12757869.511268018,12754936.345923092,12752793.06160466,12751402.6293499,12750682.559011804,12750583.330104033,12751098.629803145,12752209.980919434,12753872.400460387,12756052.828323942,12758740.376443973,12761901.53687732,12765463.463931946,12769365.249946175,12773573.301232422,12778028.130611505,12782628.604686586,12787276.023195053,12791861.599853419,12796189.436116507
4,12566533.961204808,12569334.965375284,12570992.415434692,12571528.375747724,12571072.861937717,12569728.496248508,12567534.804378169,12564524.73119027,12560787.904148784,12556487.798294775,12551805.804742314,12546900.18276924,12541922.387591781,12537024.348977247,12532360.173000295,12528103.350426663,12524436.109950975,12521500.90759564,12519357.365916405,12517968.342222126,12517250.108795032,12517152.462008603,12517669.59158805,12518783.084336024,12520447.164170096,12522628.541476646,12525317.15999073,12528479.762351798,12532042.486601925,12535944.312574483,12540152.988564555,12544609.559112865,12549212.033481678,12553861.725303216,12558451.19162168,12562785.508979322
5,12338069.116359053,12340875.57795344,12342533.164022323,12343066.093223594,12342607.428711087,12341260.967195729,12339065.344413262,12336052.072265217,12332310.0463757,12328003.849319866,12323316.300652072,12318405.888039762,12313424.073875826,12308522.659508806,12303855.008835852,12299594.21973763,12295923.111387618,12292985.16912865,12290841.127713187,12289453.726607589,12288737.710619614,12288642.017287454,12289161.452253498,12290277.68054082,12291943.938059887,12294126.645519726,12296816.77938215,12299981.3922006,12303545.350905275,12307447.491448808,12311657.230170002,12316116.267887665,12320721.534942457,12325374.344338449,12329968.902647205,12334311.49154739
6,12114435.487752272,12117248.560401335,12118906.393212762,12119435.760116763,12118973.338438,12117624.319701191,12115426.292081343,12112409.076465497,12108660.692643424,12104347.039613424,12099652.653151218,12094736.301667165,12089749.463769505,12084843.80514401,12080171.814889027,12075906.118735045,12072230.231289366,12069288.854788652,12067144.064031193,12065758.488914162,12065045.063948357,12064951.689058883,12065473.897275172,12066593.447252017,12068262.39150707,12070446.799368264,12073138.882407185,12076306.063859511,12079871.681490313,12083774.395380156,12087985.618637454,12092447.832872864,12097056.66306753,12101713.401790744,12106314.207186457,12110666.802272331
7,11895535.632300891,11898356.439804256,11900014.620831639,11900539.901397606,11900073.128918858,11898721.104234468,11896520.214059643,11893498.336873032,11889742.468796229,11885420.028263807,11880717.555893535,11875794.151071507,11870801.316027336,11865890.577939566,11861213.41977975,11856941.910627842,11853260.357981114,11850314.859706696,11848169.061780496,11846785.506022228,11846075.039693685,11845984.34202335,11846509.784092579,11847633.235401208,11849305.367902083,11851491.835628789,11854186.290755665,11857356.59018687,11860924.27909129,11864827.808571741,11869040.922160624,11873507.007344076,11878120.150324082,11882781.597658396,11887389.758709546,11891754.0425301
8,11681275.130556403,11684104.76921472,11685763.389645146,11686284.064731037,11685812.359186951,11684456.8921232,11682252.697918823,11679225.46735976,11675461.020217286,11671128.49185503,11666416.718615584,11661485.17860859,11656485.40293826,11651568.782431234,11646885.663772952,11642607.46910686,11638919.38893856,11635969.086548204,11633822.014383141,11632440.66177397,11631733.516622629,11631645.848871427,11632174.978476474,11633302.905411152,11634978.720896978,11637167.596881459,11639864.836275512,11643038.79561682,11646608.95665067,11650513.526820373,11654728.920757577,11659199.558043433,11663817.743735244,11668484.64657676,11673101.225977236,11677478.832361825
9,11471562.432171118,11474401.972906373,11476061.112731477,11476576.666111682,11476099.455303077,11474740.12132577,11472532.197806198,11469498.948276745,11465724.857686602,11461380.970502213,11456658.713294089,11451717.98783284,11446710.356628962,11441787.081935605,11437097.245134294,11432811.524825608,11429116.077434164,11426160.292280989,11424011.668508194,11422632.693572138,11421929.227880202,11421844.936803859,11422378.201006455,11423511.173595065,11425191.160782002,11427382.78208075,11430083.207344705,11433261.362441918,11436834.385574795,11440740.203837324,11444958.25260649,11449434.111439133,11454058.051103123,11458731.124070276,11463357.13923614,11467749.656365512
