,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-2.4903285014403953e-05,-2.4906397057148115e-05,-2.4903325474391527e-05,-2.4904420050097425e-05,-2.490475038341715e-05,-2.489335338563543e-05,-2.4902506453560987e-05,-2.4903014720428166e-05,-2.4903725071268815e-05,-2.490435466616565e-05,-2.4904872725711215e-05,-2.490486217873039e-05,-2.490443353235245e-05,-2.4904077796101013e-05,-2.490381582678021e-05,-2.490371114640343e-05,-2.488578638744983e-05,-2.490347706409087e-05,-2.49045192574804e-05,-2.490490901505384e-05,-2.4904825880469987e-05,-2.4904714533921036e-05,-2.4904703045825404e-05,-2.490465654059258e-05,-2.4904425261254234e-05,-2.490377093212039e-05,-2.4889022237250613e-05,-2.4903783454453604e-05,-2.490377711442159e-05,-2.4903916570838272e-05,-2.490417869793933e-05,-2.4904448552279376e-05,-2.4905090936031904e-05,-2.4904643706246364e-05,-2.4904502155917397e-05,-2.488488053585861e-05
1,-2.359259898973067e-05,-2.359553843346919e-05,-2.359262288889016e-05,-2.359365517364352e-05,-2.359396610553193e-05,-2.3583173561719587e-05,-2.3591861832327832e-05,-2.3592357838333716e-05,-2.359304712675535e-05,-2.3593664418159772e-05,-2.3594180127192907e-05,-2.3594197670464315e-05,-2.3593820206751587e-05,-2.359351149519645e-05,-2.35932895521799e-05,-2.359321082520835e-05,-2.3576238211973655e-05,-2.3593011245501847e-05,-2.3594012851811525e-05,-2.3594393643793314e-05,-2.359432217428973e-05,-2.3594219138534096e-05,-2.359420573907425e-05,-2.359415442650566e-05,-2.359392394391238e-05,-2.3593289896312944e-05,-2.357930369632455e-05,-2.359328014277391e-05,-2.3593256134204418e-05,-2.359336433923491e-05,-2.359358679821453e-05,-2.3593816530035486e-05,-2.3594400422242894e-05,-2.359395381154312e-05,-2.3593796894434585e-05,-2.3575180120103447e-05
2,-2.2852932187619072e-05,-2.2855750372042975e-05,-2.2852908285052717e-05,-2.2853900658257565e-05,-2.285420580571151e-05,-2.2843769111207926e-05,-2.285221868137881e-05,-2.285273996686975e-05,-2.285345696259404e-05,-2.2854112885394976e-05,-2.2854677374963597e-05,-2.2854763883359204e-05,-2.2854469824267698e-05,-2.2854241954096134e-05,-2.2854095103666938e-05,-2.285408031233482e-05,-2.2837689433753185e-05,-2.2853983264916905e-05,-2.2854992839485476e-05,-2.2855391221660008e-05,-2.2855340172654965e-05,-2.2855246483427978e-05,-2.2855227353058706e-05,-2.2855159488747195e-05,-2.2854906803276066e-05,-2.2854253327549044e-05,-2.2840658820418615e-05,-2.2854147871730108e-05,-2.285406449043708e-05,-2.285410242766512e-05,-2.2854248055396212e-05,-2.2854400461132586e-05,-2.2854898060524524e-05,-2.2854401558371788e-05,-2.2854190466912053e-05,-2.283610157984362e-05
3,-2.2127596232491937e-05,-2.2130296276069152e-05,-2.2127526721930957e-05,-2.21284800688751e-05,-2.2128779305359457e-05,-2.211869111567025e-05,-2.212690632373506e-05,-2.2127451533888946e-05,-2.2128194587766235e-05,-2.2128887209169e-05,-2.212949833972963e-05,-2.2129651304777296e-05,-2.212943790778876e-05,-2.2129288248888054e-05,-2.2129214036459185e-05,-2.2129260924456975e-05,-2.211343914438428e-05,-2.212926217387268e-05,-2.213027898481402e-05,-2.213069422575172e-05,-2.213066297151971e-05,-2.213057837340649e-05,-2.2130553704628544e-05,-2.213046984841627e-05,-2.2130195791428778e-05,-2.212952384107257e-05,-2.211631427339862e-05,-2.2129326749122433e-05,-2.212918624706972e-05,-2.2129156327625206e-05,-2.2129227715960445e-05,-2.2129305459652246e-05,-2.2129719651258406e-05,-2.212917544460592e-05,-2.212891233567949e-05,-2.21113416870202e-05
4,-2.1416372487501e-05,-2.1418957472749872e-05,-2.1416259555301557e-05,-2.1417174735615346e-05,-2.141746791272381e-05,-2.14077210010687e-05,-2.1415706282419574e-05,-2.141627411721191e-05,-2.141704161898842e-05,-2.141776907335826e-05,-2.1418424803552334e-05,-2.1418641843405546e-05,-2.1418506512495985e-05,-2.1418432588927465e-05,-2.1418428710813933e-05,-2.1418535131754912e-05,-2.1403269904499424e-05,-2.1418630427441317e-05,-2.1419653815353572e-05,-2.1420085249923133e-05,-2.1420073210486693e-05,-2.141999746514642e-05,-2.1419967436781685e-05,-2.141986810682576e-05,-2.1419573445458222e-05,-2.1418883897703843e-05,-2.140605257788239e-05,-2.1418599236553784e-05,-2.1418403784698898e-05,-2.14183082845619e-05,-2.1418307882838873e-05,-2.1418313494311264e-05,-2.1418647043132406e-05,-2.1418057229089798e-05,-2.1417744166016435e-05,-2.1400682048418274e-05
5,-2.07190567256714e-05,-2.0721529703892576e-05,-2.0718902556281415e-05,-2.0719780405865604e-05,-2.0720067353645317e-05,-2.071065460345587e-05,-2.0718414503045545e-05,-2.0719003714394053e-05,-2.07197940872271e-05,-2.0720554569297044e-05,-2.072125294838177e-05,-2.072153179962655e-05,-2.0721472076818693e-05,-2.0721471558600216e-05,-2.0721535854291563e-05,-2.0721699764846983e-05,-2.0706978607857487e-05,-2.0721884815571696e-05,-2.0722914188668575e-05,-2.0723361214633235e-05,-2.0723367853646776e-05,-2.0723300739134142e-05,-2.072326551713875e-05,-2.0723151192169107e-05,-2.0722836633029195e-05,-2.0722130293801836e-05,-2.0709670589747313e-05,-2.0721762153975165e-05,-2.0721513851132557e-05,-2.0721354919113064e-05,-2.0721285042198134e-05,-2.0721220925102746e-05,-2.0721476484200044e-05,-2.072084307715261e-05,-2.072048203666261e-05,-2.0703918668221466e-05
6,-2.0035457137918164e-05,-2.0037821133794262e-05,-2.0035263919720476e-05,-2.0036105252537493e-05,-2.003638577964063e-05,-2.002730017802353e-05,-2.003483936674608e-05,-2.003544875606877e-05,-2.003626045094802e-05,-2.0037052209164856e-05,-2.0037791369785693e-05,-2.003812987979107e-05,-2.0038143437392054e-05,-2.0038214133038602e-05,-2.0038344578357923e-05,-2.0038564032247293e-05,-2.0024374495937706e-05,-2.0038834475724655e-05,-2.00398693051202e-05,-2.004033137999026e-05,-2.0040356202846785e-05,-2.0040297513044177e-05,-2.00402572512851e-05,-2.0040128372721112e-05,-2.0039794565408053e-05,-2.0039072174079117e-05,-2.0026977511812825e-05,-2.003862469635126e-05,-2.0038325578094934e-05,-2.0038105243114723e-05,-2.0037968078735432e-05,-2.00378365179272e-05,-2.0038016635966375e-05,-2.0037341574476702e-05,-2.0036934453724915e-05,-2.0020859958592924e-05
7,-1.936539247733087e-05,-1.9367650493356008e-05,-1.9365162408778583e-05,-1.936596801852985e-05,-1.9366241912249368e-05,-1.9357476544360387e-05,-1.9364799839419465e-05,-1.9365428255613245e-05,-1.9366259745710814e-05,-1.936708107570378e-05,-1.9367859226984985e-05,-1.9368255346746834e-05,-1.9368339980217364e-05,-1.9368479829994394e-05,-1.9368674531092398e-05,-1.9368947673959148e-05,-1.9355277308506433e-05,-1.936929904147725e-05,-1.9370338856566205e-05,-1.9370815494670218e-05,-1.937085804680359e-05,-1.9370807590942263e-05,-1.9370762431960874e-05,-1.9370619405926665e-05,-1.9370266946410143e-05,-1.9369529180405672e-05,-1.93577930434242e-05,-1.9369006586381763e-05,-1.9368658634020083e-05,-1.936837881176551e-05,-1.9368176427165376e-05,-1.936797959546761e-05,-1.9368086723736623e-05,-1.9367371877247284e-05,-1.9366920500959202e-05,-1.935132488647779e-05
8,-1.8708690333713067e-05,-1.8710845354405253e-05,-1.8708425629694756e-05,-1.870919629141757e-05,-1.8709463317659595e-05,-1.870101136188755e-05,-1.8708123751374312e-05,-1.8708770089223175e-05,-1.8709619864173784e-05,-1.8710469102328958e-05,-1.871128452325441e-05,-1.871173630069744e-05,-1.8711889922112256e-05,-1.8712096991960012e-05,-1.8712354180101547e-05,-1.87126792453733e-05,-1.8699515564216328e-05,-1.8713106921184527e-05,-1.871415130504177e-05,-1.871464207477335e-05,-1.8714701940140186e-05,-1.871465954242335e-05,-1.8714609618184e-05,-1.8714452817434937e-05,-1.8714082251352516e-05,-1.871332973068145e-05,-1.870194565998937e-05,-1.871273635737773e-05,-1.8712341507042812e-05,-1.8712004006026677e-05,-1.8711738353998155e-05,-1.871147831836873e-05,-1.87115148173082e-05,-1.8710761992651396e-05,-1.8710268120530835e-05,-1.8695141250637556e-05
9,-1.806518553295749e-05,-1.8067240528819692e-05,-1.8064888431323025e-05,-1.806562490293284e-05,-1.8065884806168258e-05,-1.8057739530047582e-05,-1.8064646201983164e-05,-1.8065309400991875e-05,-1.8066175961107233e-05,-1.806705147823894e-05,-1.80679025112984e-05,-1.8068408085017493e-05,-1.8068628717089543e-05,-1.806890119317183e-05,-1.8069219220296368e-05,-1.8069594526159805e-05,-1.8056924965893725e-05,-1.8070093701323144e-05,-1.807114228606049e-05,-1.8071646807264816e-05,-1.8071723606984692e-05,-1.8071689106298235e-05,-1.8071634538939083e-05,-1.8071464304739106e-05,-1.8071076130653258e-05,-1.807030942243454e-05,-1.8059271017086026e-05,-1.8069649760985006e-05,-1.8069209912833337e-05,-1.806881643990899e-05,-1.8068489364220384e-05,-1.80681680913585e-05,-1.8068136236608265e-05,-1.8067347184351582e-05,-1.806681251892228e-05,-1.8052144083523777e-05
